timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1525956092.144200,-1.446539,1.189615,0.738840,-0.033938,-0.026617,-0.009397,-0.369149,-0.928226,-0.046107,0.040841,0.012622,-0.005590,-11.022545,-43.076248,14.110815,,,,,,,
1525956092.164175,-1.445543,1.191107,0.736464,-0.030904,-0.071014,-0.000215,-0.367729,-0.928780,-0.046302,-0.007546,-0.009270,-0.009301,-11.516741,-43.018627,18.577114,,,,,,,
1525956092.184188,-1.445557,1.190924,0.734860,-0.027703,-0.065736,0.006244,-0.367897,-0.928712,-0.046318,-0.025169,0.009980,-0.007561,-11.497294,-43.026730,18.570393,,,,,,,
1525956092.204175,-1.445700,1.190015,0.734112,-0.012698,-0.035164,0.004415,-0.368742,-0.928374,-0.046370,-0.007662,0.005431,-0.000520,-11.512009,-43.027336,18.559864,,,,,,,
,,,,,,,,,,,,,,,,50.059691,19.920355,201.911209,0.000000,298.125000,1525956058.999873,
1525956092.224136,-1.445523,1.190046,0.732965,-0.020157,-0.041480,-0.004192,-0.368705,-0.928386,-0.046432,0.003226,0.017925,0.008789,-11.493236,-43.035530,18.552502,,,,,,,
,,,,,,,,,,,,,,,,50.059780,19.920305,201.911392,-1.000000,-1.000000,1525956086.861944,
1525956092.244151,-1.445312,1.189986,0.732271,-0.009436,-0.016162,0.000329,-0.368750,-0.928364,-0.046517,0.005988,0.012562,0.007119,-11.484426,-43.040470,18.546503,,,,,,,
1525956092.264116,-1.444658,1.189958,0.731476,-0.011492,0.006046,0.000540,-0.368746,-0.928353,-0.046761,-0.004255,0.003640,-0.002738,-11.478909,-43.045361,18.538582,,,,,,,
1525956092.284108,-1.443971,1.190043,0.731042,-0.008243,0.019759,-0.006800,-0.368635,-0.928385,-0.047005,-0.006899,0.004282,-0.001579,-11.480039,-43.050640,18.525606,,,,,,,
1525956092.304089,-1.442520,1.189847,0.730153,-0.003956,0.031372,-0.001347,-0.368747,-0.928312,-0.047563,0.002079,0.008146,-0.002486,-11.493762,-43.054821,18.507362,,,,,,,
1525956092.324100,-1.441709,1.189554,0.729951,0.000286,0.027123,-0.000315,-0.368978,-0.928203,-0.047897,-0.004588,0.004390,-0.003007,-11.508479,-43.055790,18.495962,,,,,,,
1525956092.344090,-1.440732,1.189451,0.729537,-0.000761,0.029232,-0.007769,-0.369026,-0.928165,-0.048270,0.003945,0.006976,-0.001230,-11.536819,-43.055721,18.478447,,,,,,,
1525956092.364055,-1.439602,1.189960,0.729015,-0.001846,0.026076,-0.001396,-0.368503,-0.928354,-0.048625,0.009570,0.004968,-0.001058,-11.530418,-43.062183,18.467384,,,,,,,
1525956092.384036,-1.438089,1.190462,0.727929,-0.008260,0.014471,-0.008987,-0.367966,-0.928541,-0.049121,0.009126,-0.000170,-0.003232,-11.521553,-43.071568,18.451036,,,,,,,
1525956092.404053,-1.437304,1.190882,0.727262,-0.010416,0.006024,-0.010138,-0.367542,-0.928696,-0.049358,0.004780,0.007157,0.001186,-11.499052,-43.085346,18.432896,,,,,,,
1525956092.424023,-1.436969,1.190935,0.727099,-0.005075,0.013402,-0.005792,-0.367477,-0.928716,-0.049474,0.001739,0.007482,0.003438,-11.495208,-43.088779,18.427271,,,,,,,
1525956092.444027,-1.436049,1.191057,0.726509,-0.006133,0.016581,-0.003628,-0.367318,-0.928761,-0.049797,0.003106,0.002858,-0.003777,-11.496338,-43.090355,18.422874,,,,,,,
1525956092.464016,-1.435189,1.191387,0.725926,-0.008263,0.014472,-0.007921,-0.366971,-0.928884,-0.050071,0.007825,0.002752,0.000572,-11.494026,-43.098507,18.405241,,,,,,,
,,,,,,,,,,,,,,,,50.059898,19.920239,201.911392,-1.000000,-1.000000,1525956092.411752,
1525956092.484004,-1.434372,1.191548,0.725195,-0.010447,-0.000309,-0.003794,-0.366783,-0.928943,-0.050351,-0.000969,0.002811,-0.000842,-11.479977,-43.105846,18.396828,,,,,,,
,,,,,,,,,,,,,,,,50.059898,19.920239,201.911392,-1.000000,-1.000000,1525956092.447237,
