timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1558971708.958142,-2.612186,1.546785,1.544872,-0.026952,0.095837,-0.067741,-0.012126,-0.999712,0.020724,-0.005422,0.009065,0.031720,-17.162577,-40.545784,-1.492967,,,,,,,
1558971708.978139,-2.636075,1.547946,1.569375,-0.027347,-0.012997,-0.043160,-0.011066,-0.999739,0.019993,0.005969,0.014555,0.024105,-17.120604,-40.562054,-1.532467,,,,,,,
1558971708.998128,-2.674481,1.548224,1.607289,0.002403,-0.022642,-0.026148,-0.010165,-0.999745,0.020155,0.009723,-0.000041,-0.003431,-17.059593,-40.587276,-1.544927,,,,,,,
1558971709.018086,-2.690649,1.548220,1.622928,0.000222,-0.032123,-0.012361,-0.009839,-0.999745,0.020320,0.014585,0.005910,-0.001368,-17.047020,-40.592972,-1.534097,,,,,,,
1558971709.038098,-2.717806,1.548575,1.649442,0.007675,-0.036406,-0.023074,-0.009136,-0.999753,0.020252,0.010906,0.005399,-0.003391,-17.039577,-40.596432,-1.525194,,,,,,,
1558971709.058071,-2.733396,1.548528,1.664238,0.012997,-0.030072,-0.009129,-0.008840,-0.999752,0.020439,0.002156,0.009777,-0.003242,-17.011726,-40.608532,-1.513937,,,,,,,
1558971709.078053,-2.726630,1.549115,1.658134,-0.039946,0.061127,0.002377,-0.008740,-0.999765,0.019839,0.002118,0.009576,-0.008425,-17.002405,-40.612911,-1.501228,,,,,,,
1558971709.098034,-2.692932,1.549840,1.625652,-0.024094,0.035705,0.022432,-0.009089,-0.999780,0.018879,0.002680,0.014597,-0.005680,-17.000261,-40.612015,-1.548796,,,,,,,
1558971709.118040,-2.674573,1.549411,1.606893,0.029923,-0.051268,0.013102,-0.009628,-0.999771,0.019095,0.000320,-0.011749,0.008692,-17.025555,-40.599777,-1.591274,,,,,,,
1558971709.138032,-2.699969,1.548658,1.630729,0.009693,-0.072365,-0.028754,-0.009461,-0.999755,0.020012,-0.004485,-0.008012,0.013099,-17.034826,-40.597546,-1.548366,,,,,,,
1558971709.158010,-2.724135,1.549224,1.654375,-0.018769,0.002800,-0.050477,-0.008746,-0.999767,0.019719,-0.014051,-0.003544,-0.006291,-17.022848,-40.604012,-1.510182,,,,,,,
1558971709.177977,-2.731639,1.549516,1.663289,-0.035487,0.098020,-0.049575,-0.008480,-0.999774,0.019514,0.004971,0.021777,0.020602,-16.985292,-40.618294,-1.548439,,,,,,,
1558971709.197990,-2.751673,1.550577,1.684153,-0.044401,-0.005463,-0.011072,-0.007686,-0.999796,0.018703,0.014659,0.015741,0.005361,-16.975418,-40.621178,-1.580717,,,,,,,
1558971709.217976,-2.782715,1.551160,1.715160,0.016333,0.005823,-0.025864,-0.006896,-0.999807,0.018384,0.016433,0.001837,-0.010434,-16.933823,-40.637333,-1.611330,,,,,,,
1558971709.237964,-2.834375,1.551090,1.766022,0.004340,-0.061702,0.015113,-0.005959,-0.999806,0.018783,0.012627,0.000065,0.010270,-16.902399,-40.651245,-1.590271,,,,,,,
1558971709.257950,-2.830871,1.551946,1.761619,-0.047653,-0.025540,-0.017680,-0.005764,-0.999822,0.017949,0.005520,-0.002695,-0.005940,-16.890802,-40.656540,-1.578079,,,,,,,
