timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1558973687.531998,0.066127,1.504518,-1.662525,0.055104,0.004991,0.081721,0.004376,-0.997804,-0.066085,0.015323,0.007601,0.000320,-5.407414,-46.137718,11.011357,,,,,,,
1558973687.551953,0.031878,1.506737,-1.627794,0.128543,0.015219,0.110705,0.002040,-0.997949,-0.063982,-0.004039,0.001504,-0.031431,-5.454664,-46.124672,11.042685,,,,,,,
1558973687.571961,-0.004987,1.509553,-1.590250,0.211701,0.031617,0.059683,-0.000305,-0.998125,-0.061203,-0.015152,0.010683,-0.003280,-5.613242,-46.063679,11.216434,,,,,,,
1558973687.591951,-0.017577,1.513798,-1.577017,0.201119,0.034791,0.024473,-0.001001,-0.998376,-0.056959,-0.009344,0.002649,0.007993,-5.680547,-46.024502,11.342648,,,,,,,
1558973687.611929,-0.004899,1.516746,-1.589653,0.109562,-0.021981,-0.092518,-0.000265,-0.998540,-0.054024,-0.026484,0.023335,0.005104,-5.702199,-45.988487,11.477097,,,,,,,
1558973687.631907,0.042231,1.518450,-1.637542,0.033988,-0.036431,-0.125814,0.002209,-0.998630,-0.052275,0.004612,-0.013150,0.031676,-5.569064,-45.969109,11.619209,,,,,,,
1558973687.651904,0.069994,1.518318,-1.665490,-0.021355,0.008389,-0.034679,0.003668,-0.998623,-0.052325,0.010599,-0.012241,0.025927,-5.493789,-45.967525,11.661230,,,,,,,
1558973687.671865,0.067542,1.517387,-1.662739,-0.058731,0.005602,0.010107,0.003603,-0.998574,-0.053261,0.027632,0.006265,0.013832,-5.470317,-45.974285,11.645615,,,,,,,
1558973687.691871,0.079738,1.515887,-1.675098,-0.064073,-0.013439,-0.018907,0.004371,-0.998493,-0.054707,0.016991,0.013431,-0.002025,-5.471519,-45.995213,11.562114,,,,,,,
1558973687.711857,0.081548,1.515014,-1.677304,-0.023680,-0.024199,-0.004031,0.004542,-0.998445,-0.055568,0.006826,0.010331,-0.009938,-5.430651,-46.013020,11.510393,,,,,,,
1558973687.731832,0.082506,1.515492,-1.678900,0.056129,-0.033077,-0.005120,0.004555,-0.998471,-0.055088,0.003898,0.015775,-0.010799,-5.426188,-46.014935,11.504873,,,,,,,
1558973687.751805,0.089060,1.517344,-1.685997,0.125366,-0.020763,-0.009217,0.004752,-0.998572,-0.053214,0.000116,0.001975,0.006766,-5.405516,-45.995674,11.591287,,,,,,,
1558973687.771810,0.104011,1.520655,-1.701344,0.113667,-0.022830,-0.018856,0.005204,-0.998743,-0.049850,0.003143,-0.008337,0.016311,-5.386219,-45.963665,11.726448,,,,,,,
1558973687.791793,0.119486,1.523061,-1.717433,0.081712,-0.034305,-0.029668,0.005688,-0.998861,-0.047377,-0.001156,-0.011790,0.016645,-5.369032,-45.946026,11.803185,,,,,,,
1558973687.811778,0.132199,1.524951,-1.730845,0.035975,-0.029856,-0.042473,0.006041,-0.998949,-0.045431,-0.007353,-0.013120,0.012960,-5.321451,-45.910931,11.960279,,,,,,,
1558973687.831735,0.142398,1.525735,-1.741481,-0.017239,-0.009346,-0.038057,0.006393,-0.998985,-0.044589,-0.007888,-0.016579,0.013629,-5.308021,-45.898148,12.015166,,,,,,,
1558973687.851746,0.145321,1.525662,-1.744017,-0.040555,0.036276,-0.005609,0.006534,-0.998982,-0.044643,-0.004016,-0.010830,0.011974,-5.290782,-45.898121,12.022870,,,,,,,
1558973687.871730,0.130146,1.525492,-1.727582,-0.062804,0.079770,0.021482,0.005877,-0.998974,-0.044905,-0.010058,-0.012363,0.015730,-5.321939,-45.899929,12.002203,,,,,,,
1558973687.891692,0.103732,1.524380,-1.699320,-0.094720,0.093706,0.039741,0.004805,-0.998923,-0.046151,-0.008619,-0.001626,0.007302,-5.379893,-45.899899,11.976440,,,,,,,
1558973687.911699,0.083051,1.522056,-1.676795,-0.128785,0.092826,0.038638,0.004042,-0.998812,-0.048553,0.002336,-0.004117,0.000198,-5.433626,-45.910610,11.910986,,,,,,,
1558973687.931684,0.060497,1.519485,-1.651926,-0.134042,0.124603,0.064561,0.003101,-0.998684,-0.051196,-0.001163,0.005627,-0.003736,-5.531209,-45.947502,11.722298,,,,,,,
1558973687.951659,0.017338,1.516209,-1.606045,-0.120124,0.139294,0.042296,0.000946,-0.998510,-0.054552,-0.015747,0.002005,-0.013029,-5.656573,-45.973503,11.559402,,,,,,,
1558973687.971651,0.009882,1.514130,-1.596019,-0.075438,0.123172,0.020825,0.000560,-0.998395,-0.056633,-0.003047,-0.008594,-0.010674,-5.656573,-45.973503,11.559402,,,,,,,
1558973687.991636,0.003052,1.512762,-1.587178,-0.025583,0.080664,0.043945,0.000177,-0.998316,-0.058001,0.007101,-0.005666,-0.011106,-5.755105,-46.007664,11.373362,,,,,,,
1558973688.011601,-0.003433,1.511361,-1.579583,-0.016096,0.042526,0.020099,-0.000204,-0.998234,-0.059400,-0.000437,0.018376,-0.017245,-5.816010,-46.022678,11.281264,,,,,,,
1558973688.031604,0.003820,1.510631,-1.586071,0.006315,0.034927,-0.035474,0.000230,-0.998191,-0.060128,0.001281,0.012580,-0.025459,-5.826231,-46.029442,11.248340,,,,,,,
1558973688.051588,0.026805,1.510019,-1.608699,0.089245,-0.002534,-0.054985,0.001628,-0.998154,-0.060718,0.009435,0.014999,-0.041226,-5.797954,-46.047764,11.187776,,,,,,,
