timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1558974886.282802,0.069414,1.217310,-1.327307,-0.423654,-0.102457,-0.276456,0.024010,-0.938172,-0.345337,-0.032570,-0.016769,0.055313,-11.277263,-42.735771,-1.532937,,,,,,,
1558974886.302791,0.079076,1.210920,-1.341455,-0.178318,-0.277111,-0.286472,0.027818,-0.935941,-0.351058,0.012343,0.024106,-0.002305,-11.052975,-42.783428,-1.811751,,,,,,,
1558974886.322765,0.083138,1.210822,-1.359861,0.224905,-0.976817,-0.260822,0.029252,-0.935906,-0.351033,0.021774,0.019753,-0.029063,-10.874729,-42.829956,-1.790967,,,,,,,
1558974886.342758,0.057600,1.219086,-1.360670,0.499088,-1.463488,0.387088,0.019832,-0.938785,-0.343932,-0.054485,0.055377,-0.033417,-10.697525,-42.894566,-1.221322,,,,,,,
1558974886.362764,0.045350,1.233960,-1.361201,0.768592,-0.361141,-0.159457,0.014983,-0.943805,-0.330163,0.128419,0.176349,0.122095,-10.877124,-42.861996,-0.640476,,,,,,,
1558974886.382739,0.041155,1.240971,-1.371755,0.126869,-0.950725,-0.141058,0.013326,-0.946099,-0.323604,0.056071,-0.031883,-0.024586,-10.786504,-42.889549,-0.103630,,,,,,,
1558974886.402746,0.008700,1.241782,-1.366580,0.101505,-1.456622,0.046256,0.002811,-0.946361,-0.323098,0.064236,0.156383,0.061379,-10.743800,-42.898266,0.426985,,,,,,,
1558974886.422737,-0.034780,1.246193,-1.353373,0.291562,-1.497439,0.279832,-0.011090,-0.947777,-0.318740,0.049436,0.082665,-0.022600,-10.852496,-42.863361,0.910003,,,,,,,
1558974886.442701,-0.084152,1.253073,-1.334818,0.332518,-1.957345,0.353401,-0.026259,-0.949949,-0.311299,0.040846,0.044309,-0.076426,-10.954893,-42.830013,1.205410,,,,,,,
1558974886.462712,-0.158175,1.259898,-1.304424,0.553534,-2.381248,0.396497,-0.048186,-0.952059,-0.302096,-0.108353,0.014528,-0.118833,-11.305369,-42.693714,2.303954,,,,,,,
1558974886.482711,-0.234303,1.274817,-1.273747,0.985255,-1.977965,0.167956,-0.067717,-0.956517,-0.283707,0.194823,0.107289,0.315552,-11.471590,-42.570450,3.468649,,,,,,,
1558974886.502673,-0.266339,1.289312,-1.267171,0.444501,-1.387614,0.040785,-0.073113,-0.960644,-0.267988,-0.045952,0.005322,-0.003924,-11.361123,-42.521229,4.329252,,,,,,,
1558974886.522680,-0.299996,1.295868,-1.253530,0.379907,-0.597558,0.127301,-0.080226,-0.962445,-0.259353,0.001460,-0.029834,-0.016114,-11.247934,-42.462158,5.130446,,,,,,,
1558974886.542684,-0.312047,1.300242,-1.241273,0.150294,0.402307,-0.019189,-0.082053,-0.963623,-0.254358,-0.007379,-0.012802,0.002787,-11.328854,-42.399826,5.457515,,,,,,,
1558974886.562674,-0.285273,1.299905,-1.256261,-0.195788,0.578173,-0.260139,-0.075305,-0.963533,-0.256776,-0.040448,-0.005675,0.054307,-11.312792,-42.411316,5.401295,,,,,,,
1558974886.582668,-0.254759,1.298485,-1.282282,-0.063304,0.041448,-0.343108,-0.067781,-0.963152,-0.260277,-0.020797,0.010988,0.019875,-11.073835,-42.513775,5.081520,,,,,,,
1558974886.602628,-0.242547,1.304317,-1.300766,0.391673,-0.447089,-0.289767,-0.063247,-0.964704,-0.255629,0.013580,0.001935,-0.042756,-10.782292,-42.573326,5.208323,,,,,,,
1558974886.622642,-0.256090,1.315295,-1.304370,0.549506,-0.925424,-0.112719,-0.064017,-0.967537,-0.244489,-0.003854,-0.006798,0.004682,-10.560785,-42.578438,5.605253,,,,,,,
