timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1558972768.435264,-0.273218,1.130296,3.041311,0.594389,0.424885,-0.210615,-0.115054,-0.904539,-0.410576,-0.004377,0.037351,-0.065453,18.241747,-38.036037,-25.674078,,,,,,,
1558972768.455264,-0.267507,1.148374,3.041347,0.990596,0.157459,-0.233143,-0.108367,-0.912099,-0.395389,0.007003,0.039326,-0.062573,18.600468,-38.340477,-24.953775,,,,,,,
1558972768.475225,-0.270146,1.167866,3.038399,0.855637,-0.497433,-0.403937,-0.104645,-0.919916,-0.377894,-0.008102,0.076105,-0.084142,18.711815,-38.544010,-24.553768,,,,,,,
1558972768.495235,-0.269804,1.184884,3.024963,0.682777,-0.656243,-0.477128,-0.100328,-0.926455,-0.362788,0.027726,-0.047879,-0.007406,18.844191,-38.919735,-23.849747,,,,,,,
1558972768.515220,-0.272022,1.197902,3.015119,0.513896,-0.440447,-0.252060,-0.097883,-0.931277,-0.350916,0.013991,-0.008756,-0.003042,18.860641,-39.062519,-23.602028,,,,,,,
1558972768.535205,-0.275918,1.206213,3.014268,0.343220,-0.141197,-0.066765,-0.097138,-0.934273,-0.343073,-0.002548,0.027855,-0.028189,18.859526,-39.167793,-23.427811,,,,,,,
1558972768.555191,-0.276668,1.209147,3.015734,0.363046,0.078603,-0.036885,-0.096646,-0.935315,-0.340362,-0.002933,0.030117,-0.051621,18.870750,-39.345421,-23.119104,,,,,,,
1558972768.575175,-0.279753,1.217283,3.017007,0.396763,-0.374054,-0.089235,-0.095591,-0.938162,-0.332737,-0.100179,0.057578,-0.189510,18.931870,-39.410645,-22.957481,,,,,,,
1558972768.595161,-0.293649,1.224273,3.011705,0.305286,-1.104308,-0.317301,-0.098305,-0.940559,-0.325092,-0.101707,0.077995,-0.017544,18.767874,-39.499706,-22.939053,,,,,,,
1558972768.615116,-0.281656,1.235993,2.977539,0.459259,-0.870377,-0.971542,-0.091329,-0.944475,-0.315636,0.012517,0.054262,0.079446,18.626225,-39.475689,-23.095316,,,,,,,
1558972768.635125,-0.238312,1.252792,2.915859,0.603334,-0.850296,-1.174087,-0.073810,-0.949861,-0.303835,0.058902,-0.023497,-0.045042,19.002022,-39.343021,-23.015432,,,,,,,
1558972768.655118,-0.205244,1.269987,2.860845,0.697343,-0.944447,-0.894122,-0.060386,-0.955097,-0.290075,0.104835,-0.059536,0.081823,19.493465,-39.183701,-22.875807,,,,,,,
1558972768.675105,-0.194890,1.285775,2.833557,0.636482,-0.711699,-0.260964,-0.054453,-0.959656,-0.275855,0.148462,-0.115112,0.068458,19.735931,-39.212376,-22.617306,,,,,,,
