timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1558973030.454374,0.760634,1.359112,-0.956105,0.055090,-0.139172,-0.059481,0.144843,-0.977679,-0.152201,-0.006767,0.010195,-0.013983,-11.966152,-44.145645,-7.588588,,,,,,,
1558973030.474339,0.765760,1.359076,-0.964352,0.067855,-0.145594,-0.068074,0.145646,-0.977671,-0.151482,-0.003663,0.013148,-0.006172,-11.947979,-44.158703,-7.541088,,,,,,,
1558973030.494346,0.772775,1.358920,-0.974048,0.038184,-0.110575,-0.080574,0.146812,-0.977638,-0.150566,-0.003791,0.014442,0.008781,-11.883415,-44.198040,-7.411525,,,,,,,
1558973030.514333,0.778244,1.358291,-0.981254,0.005350,-0.060723,-0.080123,0.148065,-0.977506,-0.150199,-0.004648,0.010587,0.006232,-11.827959,-44.222599,-7.353536,,,,,,,
1558973030.534300,0.782604,1.357167,-0.986340,-0.009433,-0.017285,-0.064773,0.149493,-0.977268,-0.150331,0.003095,0.008762,0.005113,-11.799412,-44.232224,-7.341481,,,,,,,
1558973030.554306,0.789051,1.356023,-0.992834,0.002293,0.007029,-0.021829,0.151253,-0.977025,-0.150152,0.015083,0.006306,0.005758,-11.691992,-44.261555,-7.336585,,,,,,,
1558973030.574292,0.790978,1.355723,-0.994575,-0.002046,0.003951,0.025112,0.151750,-0.976961,-0.150066,0.015151,0.001146,0.000743,-11.654052,-44.272324,-7.331965,,,,,,,
1558973030.594278,0.791743,1.356256,-0.994956,0.003307,0.021923,0.045571,0.151494,-0.977074,-0.149583,0.010173,0.003213,0.012239,-11.651358,-44.273800,-7.327291,,,,,,,
1558973030.614265,0.791655,1.356670,-0.994005,0.001257,0.045186,0.043655,0.151193,-0.977162,-0.149313,0.011893,0.006291,-0.001841,-11.676817,-44.268875,-7.316525,,,,,,,
1558973030.634248,0.788746,1.356683,-0.990351,-0.017981,0.021109,0.053019,0.150749,-0.977165,-0.149743,0.008309,0.003242,-0.008216,-11.678989,-44.265137,-7.335690,,,,,,,
1558973030.654237,0.784137,1.357095,-0.985555,0.002174,-0.002260,0.047473,0.149773,-0.977253,-0.150151,-0.001610,-0.001171,-0.006618,-11.712889,-44.250980,-7.366952,,,,,,,
1558973030.674195,0.780839,1.358044,-0.982211,0.036275,0.008126,0.044398,0.148624,-0.977454,-0.149985,-0.008609,-0.001566,-0.009896,-11.770896,-44.235882,-7.365177,,,,,,,
1558973030.694196,0.779672,1.359496,-0.980764,0.065038,0.018556,0.051995,0.147451,-0.977759,-0.149149,-0.014379,-0.001764,-0.004232,-11.830992,-44.223137,-7.345403,,,,,,,
1558973030.714196,0.778101,1.361716,-0.978888,0.085290,0.024782,0.046736,0.145692,-0.978222,-0.147834,-0.019761,-0.000995,-0.008538,-11.882372,-44.215733,-7.306929,,,,,,,
1558973030.734183,0.777499,1.363467,-0.977769,0.057630,0.024909,0.034973,0.144401,-0.978584,-0.146701,-0.012932,0.004600,-0.005368,-11.960768,-44.205246,-7.242198,,,,,,,
1558973030.754164,0.780821,1.364983,-0.980641,0.028864,0.020847,0.044520,0.143844,-0.978895,-0.145166,0.004792,0.008528,0.020884,-12.000768,-44.201683,-7.197621,,,,,,,
1558973030.774155,0.780539,1.366233,-0.979821,0.025681,0.027217,0.052051,0.142941,-0.979150,-0.144337,-0.000745,0.009591,0.015965,-12.000768,-44.201683,-7.197621,,,,,,,
1558973030.794142,0.780577,1.367746,-0.979434,0.026746,0.014487,0.025241,0.141904,-0.979456,-0.143279,-0.013517,0.008783,0.014739,-12.074667,-44.193291,-7.125216,,,,,,,
1558973030.814109,0.782063,1.369080,-0.981049,0.030923,-0.019387,0.006772,0.141196,-0.979724,-0.142141,-0.003181,0.012820,0.010763,-12.110048,-44.189583,-7.088064,,,,,,,
1558973030.834114,0.784106,1.369583,-0.983778,0.024490,-0.039456,-0.006237,0.141138,-0.979825,-0.141503,-0.003626,0.015805,0.008767,-12.124810,-44.193771,-7.036561,,,,,,,
1558973030.854101,0.786537,1.369523,-0.987117,0.006386,-0.046775,-0.016999,0.141524,-0.979813,-0.141202,0.003542,0.017624,0.006390,-12.116991,-44.202911,-6.992436,,,,,,,
1558973030.874068,0.787537,1.369042,-0.989474,0.017911,-0.095436,-0.001443,0.141999,-0.979716,-0.141393,0.015731,0.030269,0.004736,-12.103977,-44.208630,-6.978838,,,,,,,
1558973030.894048,0.789532,1.369018,-0.993484,0.038058,-0.111373,0.014432,0.142298,-0.979712,-0.141126,0.032065,0.013571,-0.012820,-12.095194,-44.217159,-6.939882,,,,,,,
1558973030.914054,0.792138,1.368976,-0.997917,0.033837,-0.092298,0.031688,0.142694,-0.979703,-0.140783,0.014380,0.006315,-0.001581,-12.062285,-44.234787,-6.884611,,,,,,,
1558973030.934035,0.791675,1.369630,-0.999472,0.065682,-0.110407,0.050755,0.142173,-0.979834,-0.140399,0.013146,0.017004,-0.007061,-12.082083,-44.237400,-6.832921,,,,,,,
1558973030.954015,0.787393,1.371152,-0.997471,0.036937,-0.103890,0.066810,0.140513,-0.980137,-0.139954,-0.006297,0.007679,-0.010086,-12.100051,-44.237740,-6.798842,,,,,,,
1558973030.973991,0.782425,1.372367,-0.993647,0.003132,-0.037160,0.040732,0.138976,-0.980377,-0.139805,-0.012176,0.001221,-0.004802,-12.208559,-44.218914,-6.726976,,,,,,,
1558973030.993982,0.775301,1.372821,-0.986968,-0.018083,-0.021218,0.024856,0.137666,-0.980467,-0.140474,-0.016511,-0.007097,-0.007643,-12.267385,-44.200691,-6.739652,,,,,,,
1558973031.013979,0.771327,1.373306,-0.983693,0.022258,-0.056319,0.020283,0.136774,-0.980562,-0.140679,-0.016917,-0.010008,-0.006263,-12.295116,-44.191486,-6.749502,,,,,,,
1558973031.033979,0.770566,1.374778,-0.984003,0.047872,-0.039553,0.012994,0.135662,-0.980850,-0.139747,-0.010906,-0.010636,0.005088,-12.365238,-44.179527,-6.699491,,,,,,,
1558973031.053964,0.770521,1.375942,-0.984820,0.053166,-0.049097,0.010773,0.134861,-0.981076,-0.138934,-0.011203,0.004391,-0.003171,-12.403058,-44.177814,-6.640650,,,,,,,
1558973031.073951,0.771402,1.376657,-0.986789,0.013838,-0.042586,-0.013750,0.134494,-0.981214,-0.138313,-0.017413,0.008222,0.000587,-12.419122,-44.177570,-6.612140,,,,,,,
1558973031.093937,0.768358,1.376573,-0.984386,-0.013747,-0.023445,-0.033871,0.134129,-0.981198,-0.138780,-0.011113,0.006451,-0.008391,-12.447826,-44.174210,-6.580564,,,,,,,
1558973031.113924,0.770120,1.375771,-0.986759,-0.004162,-0.030795,-0.042467,0.134922,-0.981043,-0.139109,0.001904,0.006830,0.004191,-12.449827,-44.172340,-6.589307,,,,,,,
1558973031.133910,0.772112,1.375401,-0.989465,0.007517,-0.036129,-0.033967,0.135452,-0.980971,-0.139100,-0.005081,0.011138,0.001771,-12.401075,-44.186211,-6.588268,,,,,,,
1558973031.153896,0.774799,1.375040,-0.993137,0.025575,-0.049973,-0.039424,0.136073,-0.980901,-0.138988,-0.001429,0.009374,-0.003224,-12.390663,-44.190216,-6.580978,,,,,,,
1558973031.173863,0.780668,1.374958,-1.000098,0.031991,-0.045793,-0.048988,0.136943,-0.980885,-0.138245,0.002293,0.008396,0.012924,-12.362974,-44.201233,-6.559040,,,,,,,
