timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1558971823.731271,-2.259467,1.520692,1.100535,0.092316,-0.013832,-0.045143,-0.038668,-0.998745,0.031828,0.001315,0.006817,-0.007200,-17.111437,-40.755116,5.858203,,,,,,,
1558971823.751247,-2.271531,1.520279,1.113566,0.008424,0.075488,0.015433,-0.038597,-0.998724,0.032559,0.008690,0.004462,0.006748,-17.067188,-40.758827,5.960562,,,,,,,
1558971823.771227,-2.256932,1.520126,1.100310,-0.025729,0.054548,0.029084,-0.039187,-0.998717,0.032089,-0.002103,0.005354,0.002915,-17.087328,-40.753914,5.936423,,,,,,,
1558971823.791238,-2.254819,1.519911,1.098309,0.021933,-0.033484,-0.003750,-0.039421,-0.998706,0.032142,-0.001609,-0.000364,0.001153,-17.108999,-40.748890,5.908428,,,,,,,
1558971823.811213,-2.278406,1.519784,1.120465,0.055909,-0.079177,-0.045798,-0.038748,-0.998699,0.033145,0.011176,0.000286,0.004545,-17.090500,-40.748940,5.961389,,,,,,,
1558971823.831213,-2.299130,1.520191,1.140164,-0.009922,-0.027034,-0.043217,-0.037750,-0.998720,0.033670,0.019242,0.006776,0.009008,-17.054176,-40.757076,6.009578,,,,,,,
1558971823.851199,-2.298151,1.521511,1.139411,-0.058744,0.039890,0.007562,-0.036798,-0.998786,0.032757,0.021402,0.014426,-0.005535,-16.993910,-40.783039,6.004174,,,,,,,
1558971823.871186,-2.259362,1.522094,1.102388,-0.103289,0.107832,0.047679,-0.037591,-0.998814,0.030935,0.009271,0.014332,-0.011068,-17.023273,-40.785389,5.904215,,,,,,,
1558971823.891171,-2.213076,1.523128,1.057663,-0.073634,0.044315,0.026773,-0.038156,-0.998864,0.028544,0.006860,0.008355,-0.013636,-17.059246,-40.783108,5.815434,,,,,,,
1558971823.911158,-2.197556,1.523683,1.041595,0.004862,-0.053390,-0.005061,-0.038143,-0.998890,0.027622,0.004635,-0.001857,-0.014606,-17.067818,-40.793697,5.715203,,,,,,,
1558971823.931145,-2.189230,1.523360,1.032075,0.048478,-0.053596,0.010988,-0.038637,-0.998875,0.027492,-0.013273,-0.008846,-0.007152,-17.064178,-40.792542,5.734233,,,,,,,
1558971823.951130,-2.190618,1.522472,1.033208,0.022052,0.006805,0.019020,-0.039321,-0.998833,0.028061,-0.011064,-0.010094,-0.004913,-17.082872,-40.781338,5.758260,,,,,,,
1558971823.971101,-2.186013,1.521922,1.029210,-0.008679,0.037582,-0.006332,-0.039898,-0.998806,0.028196,-0.013386,-0.001637,0.002352,-17.129799,-40.760609,5.765602,,,,,,,
