timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1558973949.523560,-0.063095,1.257360,-1.600678,0.060518,-0.021372,-0.065326,-0.019441,-0.951280,-0.307716,0.015657,0.003068,-0.012322,-6.201915,-45.931908,0.045962,,,,,,,
1558973949.543545,-0.058843,1.259570,-1.605254,0.111640,-0.008941,-0.055558,-0.018009,-0.951959,-0.305696,0.011844,0.012292,0.006029,-6.144412,-45.939522,0.112504,,,,,,,
1558973949.563531,-0.057340,1.261236,-1.607149,0.050901,-0.010679,-0.017188,-0.017458,-0.952468,-0.304139,0.013644,0.008406,0.005494,-6.073882,-45.948448,0.232183,,,,,,,
1558973949.583515,-0.056727,1.260947,-1.607876,-0.049134,0.001486,-0.008611,-0.017288,-0.952379,-0.304425,0.008575,-0.006956,0.008740,-6.064957,-45.949539,0.248699,,,,,,,
1558973949.603500,-0.056662,1.259931,-1.607643,-0.057600,0.022691,0.005465,-0.017323,-0.952069,-0.305391,-0.002285,0.005704,0.009111,-6.060039,-45.950424,0.201526,,,,,,,
1558973949.623470,-0.055670,1.259423,-1.608629,-0.004437,-0.010404,-0.026839,-0.017047,-0.951914,-0.305891,0.005114,0.012537,0.003874,-6.060115,-45.950577,0.158992,,,,,,,
1558973949.643471,-0.054352,1.259983,-1.610463,0.040224,-0.024378,-0.025869,-0.016614,-0.952085,-0.305382,0.005994,0.010679,0.002388,-6.032661,-45.954132,0.175146,,,,,,,
1558973949.663432,-0.053695,1.260310,-1.611494,0.005115,-0.004039,-0.014995,-0.016397,-0.952185,-0.305081,-0.003592,0.010489,-0.003604,-6.020736,-45.955616,0.193756,,,,,,,
1558973949.683438,-0.059540,1.257845,-1.602317,-0.243473,0.283100,0.280090,-0.018320,-0.951429,-0.307323,0.010690,-0.081866,0.085551,-6.082845,-45.947624,0.142509,,,,,,,
1558973949.703425,-0.071682,1.247680,-1.581620,-0.617912,0.381318,0.322368,-0.022741,-0.948250,-0.316708,0.007910,-0.035270,0.051846,-6.317218,-45.916042,-0.126125,,,,,,,
