timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1558975033.186608,-0.988586,1.361296,-0.886835,0.016915,0.040939,0.105818,-0.173708,-0.978135,-0.114357,0.003511,0.016297,0.013344,-13.279568,-38.296856,11.863113,,,,,,,
1558975033.206614,-1.004773,1.361753,-0.871054,0.077266,-0.067223,0.087749,-0.175159,-0.978230,-0.111291,0.002002,0.017567,0.025125,-13.379676,-38.235817,11.947227,,,,,,,
1558975033.226591,-1.023172,1.361803,-0.854949,0.107906,-0.148811,0.063506,-0.177135,-0.978240,-0.108024,-0.001164,0.022796,0.011940,-13.411322,-38.193218,12.047585,,,,,,,
1558975033.246554,-1.037639,1.361754,-0.842886,0.102658,-0.118105,0.080877,-0.178721,-0.978230,-0.105475,0.006617,0.012059,-0.001825,-13.434739,-38.134888,12.205240,,,,,,,
1558975033.266567,-1.051649,1.360683,-0.829896,0.101840,-0.020782,0.129852,-0.181090,-0.978007,-0.103480,0.001372,0.015651,-0.001912,-13.489756,-38.075974,12.327865,,,,,,,
1558975033.286557,-1.068997,1.358824,-0.811610,0.136174,0.055118,0.114594,-0.184452,-0.977618,-0.101198,-0.030621,0.008090,0.009187,-13.597592,-38.015060,12.397182,,,,,,,
1558975033.306544,-1.092441,1.357409,-0.785770,0.223589,0.103311,0.135413,-0.188001,-0.977319,-0.097483,-0.040499,0.026727,0.019098,-13.682901,-37.966305,12.452616,,,,,,,
1558975033.326509,-1.120602,1.356884,-0.755533,0.288288,0.052300,0.179818,-0.191133,-0.977208,-0.092374,-0.003905,0.013097,0.027448,-13.929136,-37.794205,12.700660,,,,,,,
1558975033.346525,-1.154352,1.356027,-0.720422,0.328635,0.014012,0.164538,-0.194907,-0.977026,-0.086210,-0.009439,0.039312,0.006163,-14.071469,-37.667118,12.919432,,,,,,,
1558975033.366499,-1.183749,1.354810,-0.689504,0.217087,0.090732,0.184400,-0.198458,-0.976765,-0.080893,0.013629,-0.007579,-0.014306,-14.156004,-37.591457,13.046822,,,,,,,
