timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1558971470.922771,-0.071470,0.675552,0.078337,0.016759,-0.160217,0.016540,-0.055725,-0.625328,-0.778370,0.004517,-0.007759,0.027103,-3.283130,-12.718654,-41.303154,,,,,,,
1558971470.942763,-0.075999,0.677088,0.078103,0.061095,-0.296878,-0.032778,-0.059177,-0.626526,-0.777151,0.005267,-0.015564,0.028814,-3.386339,-12.728474,-41.291790,,,,,,,
1558971470.962750,-0.083990,0.680478,0.076432,0.252986,-0.565412,-0.101388,-0.065206,-0.629165,-0.774532,-0.005946,-0.016663,0.042675,-3.779000,-12.873541,-41.212677,,,,,,,
1558971470.982714,-0.097480,0.690126,0.074015,0.516215,-0.825854,-0.161323,-0.075054,-0.636635,-0.767504,-0.031300,-0.041542,0.013736,-4.162649,-13.118662,-41.098255,,,,,,,
1558971471.002721,-0.113238,0.702938,0.070692,0.687415,-0.902929,-0.208900,-0.086210,-0.646462,-0.758060,-0.029009,-0.074683,0.027164,-4.807418,-13.572555,-40.879921,,,,,,,
1558971471.022708,-0.128338,0.718209,0.066939,0.770645,-0.863270,-0.255430,-0.096371,-0.658037,-0.746793,-0.045703,-0.099592,0.044980,-5.315609,-14.006851,-40.669964,,,,,,,
1558971471.042674,-0.141673,0.735132,0.061484,0.823009,-0.849963,-0.362026,-0.104733,-0.670685,-0.734311,-0.043155,-0.121490,0.084088,-6.239835,-14.994546,-40.183598,,,,,,,
1558971471.062655,-0.153945,0.753240,0.052947,0.869681,-0.960335,-0.494366,-0.111856,-0.684005,-0.720850,-0.029532,-0.118057,0.080851,-6.668949,-15.535666,-39.908165,,,,,,,
1558971471.082668,-0.168925,0.774288,0.041380,1.071043,-1.296680,-0.638353,-0.120194,-0.699207,-0.704743,0.002168,-0.115017,0.072342,-7.126578,-16.106834,-39.601456,,,,,,,
1558971471.102653,-0.191177,0.803441,0.028122,1.524230,-1.764336,-0.765246,-0.131914,-0.719749,-0.681586,0.003054,-0.126824,0.055640,-8.391409,-17.604156,-38.706215,,,,,,,
1558971471.122638,-0.221614,0.840241,0.015545,1.773467,-2.057428,-0.796678,-0.146672,-0.744804,-0.650964,-0.001628,-0.113030,0.031885,-9.253803,-18.638557,-38.019264,,,,,,,
1558971471.142607,-0.253385,0.876475,0.005505,1.586610,-1.868168,-0.709605,-0.160403,-0.768488,-0.619433,-0.047926,-0.123800,0.023669,-10.760648,-20.452492,-36.666027,,,,,,,
1558971471.162612,-0.278308,0.906566,-0.003448,1.261213,-1.419267,-0.658592,-0.169358,-0.787391,-0.592733,-0.054580,-0.108742,0.009405,-11.504545,-21.383823,-35.900848,,,,,,,
1558971471.182589,-0.293532,0.932870,-0.014405,1.154813,-1.110156,-0.722981,-0.172308,-0.803332,-0.570059,-0.058939,-0.103192,0.022360,-12.047255,-22.176060,-35.236053,,,,,,,
1558971471.202565,-0.304756,0.962066,-0.029060,1.372889,-1.246904,-0.926968,-0.171582,-0.820375,-0.545477,-0.043094,-0.142958,0.083364,-12.715771,-23.698080,-33.988289,,,,,,,
1558971471.222571,-0.320768,0.999607,-0.047031,1.786678,-1.739791,-1.101110,-0.170459,-0.841258,-0.513058,-0.033810,-0.144734,0.074611,-13.043692,-24.631645,-33.190926,,,,,,,
1558971471.242537,-0.347830,1.042476,-0.061148,1.934515,-2.052226,-0.992947,-0.171821,-0.863655,-0.473897,-0.029549,-0.137291,0.073247,-13.649294,-26.098839,-31.796867,,,,,,,
1558971471.262518,-0.383017,1.084456,-0.068000,1.857856,-2.008326,-0.885824,-0.174675,-0.884049,-0.433527,-0.064003,-0.157867,0.081995,-14.587358,-27.913889,-29.774441,,,,,,,
1558971471.282528,-0.410633,1.123505,-0.077314,1.631383,-1.658497,-1.003301,-0.172659,-0.901622,-0.396568,-0.057504,-0.135930,0.065315,-15.046192,-28.904644,-28.576687,,,,,,,
1558971471.302514,-0.422939,1.159879,-0.095977,1.433454,-1.375431,-1.135274,-0.163951,-0.916755,-0.364254,-0.018132,-0.103250,0.070553,-15.344162,-30.110489,-27.136848,,,,,,,
1558971471.322502,-0.426717,1.191926,-0.120976,1.154489,-1.366445,-1.051028,-0.153084,-0.929083,-0.336705,-0.004631,-0.044413,0.055043,-15.380232,-31.437609,-25.565968,,,,,,,
1558971471.342487,-0.431650,1.217635,-0.146946,0.868443,-1.533852,-0.908727,-0.144700,-0.938284,-0.314142,-0.034698,-0.016001,0.005685,-15.425647,-32.080235,-24.726532,,,,,,,
1558971471.362472,-0.436653,1.239119,-0.174954,0.754500,-1.532149,-0.876773,-0.137712,-0.945497,-0.295077,-0.091247,0.012316,-0.083021,-15.587752,-32.771248,-23.697269,,,,,,,
1558971471.382431,-0.434201,1.260385,-0.205753,0.750242,-1.215044,-0.890824,-0.128499,-0.952208,-0.277107,-0.095012,0.018904,-0.113976,-15.693453,-33.555740,-22.499359,,,,,,,
1558971471.402446,-0.421996,1.279713,-0.239203,0.632156,-0.849691,-0.847918,-0.117546,-0.957934,-0.261813,-0.101906,0.024187,-0.114896,-15.624735,-34.001434,-21.869240,,,,,,,
1558971471.422412,-0.395858,1.296913,-0.280427,0.519054,-0.616585,-0.868198,-0.104294,-0.962728,-0.249555,-0.047989,0.026311,-0.080950,-15.389074,-34.530144,-21.197620,,,,,,,
1558971471.442401,-0.363526,1.311352,-0.328600,0.391829,-0.786102,-0.873126,-0.091220,-0.966533,-0.239778,-0.025693,0.040751,-0.066512,-14.982251,-35.110878,-20.524418,,,,,,,
1558971471.462388,-0.324756,1.324673,-0.386558,0.410721,-0.894103,-0.930730,-0.077742,-0.969864,-0.230911,-0.028123,0.049256,-0.071946,-14.910549,-35.213402,-20.400623,,,,,,,
1558971471.482372,-0.278991,1.340679,-0.451556,0.617491,-0.843489,-0.993071,-0.062813,-0.973640,-0.219273,-0.018989,0.057837,-0.054836,-14.450570,-35.869598,-19.571575,,,,,,,
1558971471.502377,-0.222694,1.359396,-0.525190,0.740246,-0.746911,-1.008063,-0.046342,-0.977738,-0.204647,0.014940,0.091904,-0.035511,-13.932904,-36.536999,-18.692657,,,,,,,
1558971471.522350,-0.164597,1.378052,-0.599362,0.796447,-0.733206,-0.833860,-0.031387,-0.981482,-0.188964,0.082061,0.112540,0.016662,-13.817946,-36.675667,-18.505497,,,,,,,
1558971471.542330,-0.119537,1.396439,-0.662154,0.828511,-0.921209,-0.623172,-0.020687,-0.984838,-0.172237,0.080502,0.076696,0.034847,-13.267283,-37.447479,-17.325092,,,,,,,
1558971471.562336,-0.081568,1.412365,-0.723065,0.659324,-1.206711,-0.583335,-0.012855,-0.987476,-0.157245,0.054099,0.041690,0.037525,-13.113440,-37.981022,-16.247253,,,,,,,
1558971471.582317,-0.029631,1.422529,-0.799871,0.373223,-1.148183,-0.619304,-0.004377,-0.989029,-0.147660,0.058103,0.027618,0.037018,-13.099948,-38.072403,-16.042978,,,,,,,
1558971471.602307,0.029739,1.427755,-0.880789,0.206609,-0.967532,-0.563258,0.004239,-0.989787,-0.142491,0.081882,0.051173,0.038640,-12.940257,-38.505451,-15.112036,,,,,,,
1558971471.622295,0.078626,1.429876,-0.948182,0.081121,-0.857763,-0.403229,0.011032,-0.990087,-0.140021,0.052384,0.074667,0.008627,-12.782449,-38.740353,-14.638569,,,,,,,
1558971471.642280,0.101719,1.428729,-0.988443,-0.114951,-0.834254,-0.214187,0.014378,-0.989925,-0.140858,-0.021320,0.078304,-0.050960,-12.758821,-38.817867,-14.452648,,,,,,,
1558971471.662266,0.094195,1.423524,-0.996487,-0.322484,-0.727154,-0.007273,0.013802,-0.989175,-0.146091,-0.082085,0.058572,-0.114240,-12.849789,-38.824249,-14.354582,,,,,,,
1558971471.682253,0.068934,1.415139,-0.982788,-0.497447,-0.473453,0.097510,0.010678,-0.987910,-0.154661,-0.123761,0.054362,-0.162752,-13.113884,-38.686192,-14.487853,,,,,,,
1558971471.702239,0.048062,1.402021,-0.965082,-0.770463,0.022673,0.104175,0.008070,-0.985791,-0.167781,-0.148222,0.054639,-0.188679,-13.251555,-38.543205,-14.741473,,,,,,,
1558971471.722195,0.035349,1.384244,-0.947652,-0.951627,0.302734,0.143011,0.006555,-0.982650,-0.185357,-0.134088,0.056349,-0.230644,-13.312965,-38.276443,-15.367905,,,,,,,
1558971471.742207,0.015172,1.365051,-0.920144,-0.950640,0.349466,0.297200,0.003099,-0.978909,-0.204273,-0.146532,0.072857,-0.289410,-13.366281,-37.834087,-16.383459,,,,,,,
1558971471.762182,-0.007847,1.347391,-0.888669,-0.855735,0.427275,0.356741,-0.001738,-0.975149,-0.221545,-0.156343,0.074422,-0.308011,-13.481693,-37.444389,-17.165512,,,,,,,
1558971471.782166,-0.038207,1.327489,-0.845657,-1.136364,0.688177,0.665428,-0.009202,-0.970547,-0.240738,-0.173171,0.105694,-0.363983,-13.544293,-37.243858,-17.548237,,,,,,,
1558971471.802164,-0.078737,1.296117,-0.783746,-1.745204,1.165373,0.971652,-0.021334,-0.962512,-0.270398,-0.145231,0.191272,-0.407626,-13.908410,-36.272709,-19.218225,,,,,,,
