timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1558972567.651274,1.897551,1.494169,-1.793357,-0.124154,0.088538,0.050976,0.072502,-0.997066,0.024571,-0.005333,0.002666,0.014934,-17.244415,-45.386871,-9.255239,,,,,,,
1558972567.671285,1.876152,1.496213,-1.769330,-0.094256,0.132826,0.085588,0.071067,-0.997220,0.022401,0.009347,0.029355,-0.013368,-17.297581,-45.328743,-9.439065,,,,,,,
1558972567.691271,1.850924,1.496859,-1.743109,-0.054139,-0.011280,-0.009714,0.070990,-0.997268,0.020423,0.020105,0.036712,-0.018775,-17.297581,-45.328743,-9.439065,,,,,,,
1558972567.711256,1.847817,1.495491,-1.741574,0.054258,-0.103934,-0.092723,0.072366,-0.997166,0.020576,0.002982,0.014485,-0.008201,-17.284107,-45.300152,-9.599640,,,,,,,
1558972567.731242,1.857833,1.493019,-1.754131,0.112757,-0.128586,-0.115333,0.074521,-0.996977,0.021998,0.009372,0.012968,-0.012964,-17.192986,-45.360378,-9.478119,,,,,,,
1558972567.751228,1.862927,1.490479,-1.761410,0.017030,-0.102707,-0.109824,0.076832,-0.996776,0.023106,0.012554,0.009945,-0.027333,-17.152245,-45.390495,-9.407495,,,,,,,
1558972567.771214,1.825018,1.490099,-1.725056,-0.135092,-0.041511,-0.028167,0.078018,-0.996746,0.020273,-0.003250,-0.003407,-0.023416,-17.053205,-45.432571,-9.384379,,,,,,,
1558972567.791184,1.763043,1.491930,-1.662823,-0.242482,0.020437,0.023589,0.077334,-0.996892,0.015053,-0.007540,0.003987,-0.011986,-17.070358,-45.379433,-9.607657,,,,,,,
1558972567.811184,1.711249,1.493160,-1.610265,-0.174287,0.036976,0.014193,0.076794,-0.996988,0.010857,-0.005765,0.002725,0.000510,-17.088085,-45.345264,-9.736616,,,,,,,
1558972567.831170,1.708232,1.494077,-1.606029,-0.032643,0.060558,0.024143,0.075921,-0.997059,0.010501,-0.005029,-0.023846,0.027219,-17.119352,-45.288807,-9.942288,,,,,,,
1558972567.851125,1.712712,1.493940,-1.609790,-0.010380,0.013872,-0.016857,0.076008,-0.997048,0.010860,0.016811,-0.012916,0.013371,-17.133596,-45.284615,-9.936830,,,,,,,
1558972567.871140,1.706120,1.492797,-1.603950,-0.013753,-0.071830,-0.084942,0.077208,-0.996960,0.010512,0.014437,-0.010075,0.019059,-17.099731,-45.299610,-9.926843,,,,,,,
1558972567.891127,1.701583,1.489658,-1.601993,0.005197,-0.159739,-0.137018,0.080357,-0.996710,0.010570,0.021099,0.011694,0.011250,-17.007118,-45.341225,-9.895873,,,,,,,
1558972567.911092,1.686460,1.487996,-1.589560,-0.092670,-0.100963,-0.052190,0.082153,-0.996574,0.009545,0.011490,0.001091,0.007133,-16.908289,-45.389244,-9.844975,,,,,,,
1558972567.931073,1.652268,1.488949,-1.555313,-0.158325,0.040143,0.049495,0.081484,-0.996652,0.006653,-0.011615,0.020136,-0.002686,-16.905483,-45.376881,-9.906587,,,,,,,
1558972567.951075,1.626044,1.490390,-1.527926,-0.078496,0.042911,0.060262,0.080197,-0.996769,0.004435,-0.004742,0.040409,-0.027751,-16.968487,-45.313034,-10.089445,,,,,,,
1558972567.971059,1.621800,1.490983,-1.523642,0.016125,-0.015796,0.010664,0.079626,-0.996817,0.004065,-0.025213,0.017935,-0.020636,-17.002445,-45.290527,-10.133228,,,,,,,
1558972567.991029,1.628546,1.491478,-1.530575,0.064140,0.005046,-0.020057,0.079103,-0.996856,0.004573,-0.027925,0.020660,-0.015865,-17.006809,-45.291965,-10.119445,,,,,,,
1558972568.011016,1.648282,1.490992,-1.549575,0.072831,0.061030,-0.014176,0.079480,-0.996817,0.006171,-0.017011,0.013999,-0.002493,-17.012016,-45.303959,-10.056833,,,,,,,
1558972568.031026,1.655513,1.490864,-1.555764,-0.008128,0.046668,-0.006905,0.079561,-0.996807,0.006756,-0.009005,0.019192,-0.014309,-16.994999,-45.315186,-10.034992,,,,,,,
1558972568.051006,1.653912,1.490513,-1.553192,0.013200,0.049698,-0.026076,0.079919,-0.996779,0.006658,-0.005792,0.025786,-0.000799,-16.985489,-45.315590,-10.049252,,,,,,,
1558972568.070981,1.674049,1.489855,-1.572878,0.123750,0.002610,-0.025371,0.080423,-0.996726,0.008334,0.031409,0.039145,0.009229,-16.942478,-45.336544,-10.027344,,,,,,,
