timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1558971895.418893,-1.030726,1.513535,0.389024,0.002188,0.006447,-0.044647,-0.049085,-0.998361,-0.029427,-0.011188,-0.002768,-0.008216,-17.770658,-40.606457,-4.839323,,,,,,,
1558971895.438877,-1.022598,1.514255,0.380867,0.025598,-0.000032,-0.054298,-0.048231,-0.998402,-0.029451,-0.009768,0.000340,-0.013044,-17.739277,-40.620716,-4.834748,,,,,,,
1558971895.458849,-1.014764,1.515508,0.373306,0.012848,0.019099,-0.028504,-0.046936,-0.998472,-0.029168,0.004730,0.010221,-0.000129,-17.683968,-40.644962,-4.833586,,,,,,,
1558971895.478852,-1.012499,1.516196,0.371604,0.002213,0.031871,-0.007039,-0.046287,-0.998510,-0.028910,0.009864,0.012639,0.005823,-19.663527,-39.199093,-1.772889,,,,,,,
1558971895.498812,-1.011368,1.516502,0.370980,0.023430,0.012743,-0.000801,-0.045996,-0.998526,-0.028800,0.008627,0.012076,-0.001748,-19.650873,-39.205414,-1.773445,,,,,,,
1558971895.518818,-1.028361,1.517259,0.387897,0.032929,-0.000053,-0.001985,-0.045831,-0.998567,-0.027624,-0.001670,0.007448,0.012915,-19.632811,-39.215694,-1.745913,,,,,,,
1558971895.538812,-1.035485,1.517300,0.395412,-0.006371,0.024460,-0.004984,-0.045992,-0.998569,-0.027276,-0.009383,0.002674,0.009942,-19.633577,-39.216293,-1.723753,,,,,,,
1558971895.558796,-1.033208,1.517522,0.393415,-0.002146,0.006443,-0.022235,-0.045739,-0.998581,-0.027267,-0.002494,0.013169,0.007874,-19.638626,-39.213749,-1.724183,,,,,,,
1558971895.578755,-1.034007,1.518739,0.394138,0.048883,-0.011788,-0.018101,-0.044715,-0.998645,-0.026609,0.019980,0.017490,0.000165,-19.612352,-39.227604,-1.707847,,,,,,,
1558971895.598771,-1.046009,1.520199,0.406196,0.016987,0.010613,0.006640,-0.043769,-0.998720,-0.025340,0.015235,0.013002,0.012537,-19.565628,-39.252888,-1.662336,,,,,,,
1558971895.618746,-1.049235,1.519777,0.409444,-0.034215,-0.010219,0.033090,-0.044216,-0.998699,-0.025408,0.004650,0.006160,0.010897,-19.556259,-39.258141,-1.648506,,,,,,,
1558971895.638745,-1.049782,1.518620,0.409647,-0.049098,-0.016521,0.007397,-0.045233,-0.998639,-0.025959,-0.018778,-0.009829,0.001347,-19.592089,-39.239773,-1.660356,,,,,,,
1558971895.658732,-1.039832,1.518422,0.399083,0.009402,-0.040115,-0.014134,-0.045143,-0.998629,-0.026509,0.004311,-0.006010,-0.009166,-19.614262,-39.228069,-1.675070,,,,,,,
1558971895.678717,-1.043214,1.518881,0.401640,0.035960,-0.035010,0.001947,-0.044836,-0.998653,-0.026125,0.008184,-0.000249,-0.011733,-19.605349,-39.232769,-1.669336,,,,,,,
1558971895.698704,-1.046127,1.518849,0.404728,-0.020212,0.041396,0.005836,-0.044939,-0.998651,-0.026010,-0.007994,-0.002448,0.005731,-19.591881,-39.240574,-1.643779,,,,,,,
1558971895.718669,-1.031663,1.518527,0.391275,-0.047898,0.035188,-0.001720,-0.044834,-0.998634,-0.026822,0.004154,-0.000816,0.000165,-19.599604,-39.235023,-1.683709,,,,,,,
