timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1558974057.594235,-0.257785,1.252083,-1.253926,-0.021917,-0.032227,0.000204,-0.079884,-0.949639,-0.302991,-0.003719,-0.003348,0.005109,-8.722362,-44.586113,2.909757,,,,,,,
1558974057.614208,-0.259801,1.251675,-1.252413,-0.030432,-0.019457,0.028079,-0.080594,-0.949511,-0.303204,-0.011691,-0.008847,0.010434,-8.732236,-44.584972,2.897633,,,,,,,
1558974057.634205,-0.262682,1.251046,-1.249577,-0.033614,-0.003544,0.055988,-0.081622,-0.949314,-0.303547,-0.003873,-0.005474,0.004429,-8.756445,-44.580120,2.899257,,,,,,,
1558974057.654191,-0.265435,1.250026,-1.246510,-0.051646,0.016635,0.057234,-0.082712,-0.948993,-0.304255,0.000558,0.000369,0.003230,-8.834691,-44.566868,2.865379,,,,,,,
1558974057.674176,-0.266036,1.248634,-1.245464,-0.067616,0.009299,0.043271,-0.083242,-0.948553,-0.305480,0.012151,-0.000788,-0.001069,-8.869251,-44.563408,2.811931,,,,,,,
1558974057.694161,-0.265854,1.246832,-1.245766,-0.100692,-0.019082,0.032295,-0.083635,-0.947981,-0.307144,0.014787,-0.006365,-0.001206,-8.887691,-44.561729,2.780184,,,,,,,
1558974057.714147,-0.264016,1.244685,-1.248084,-0.119860,-0.028518,0.016172,-0.083601,-0.947295,-0.309262,0.010466,-0.010301,-0.003330,-8.886514,-44.567055,2.697247,,,,,,,
1558974057.734114,-0.263331,1.241407,-1.249232,-0.129408,-0.015777,0.020557,-0.084197,-0.946240,-0.312315,-0.005006,0.006619,-0.017184,-8.899384,-44.574520,2.526069,,,,,,,
1558974057.754118,-0.262800,1.238224,-1.250052,-0.146416,-0.008290,0.019548,-0.084814,-0.945206,-0.315266,-0.005778,0.005432,-0.012706,-8.918895,-44.576508,2.419947,,,,,,,
1558974057.774103,-0.263440,1.235405,-1.249729,-0.104922,-0.012730,0.023811,-0.085709,-0.944282,-0.317783,-0.009293,0.006965,0.007587,-8.945584,-44.577511,2.300058,,,,,,,
1558974057.794080,-0.264746,1.235118,-1.248547,-0.006870,0.008905,-0.006864,-0.086195,-0.944187,-0.317933,-0.005358,-0.001812,0.006592,-8.987027,-44.573570,2.213144,,,,,,,
1558974057.814054,-0.263726,1.235535,-1.249246,0.019829,0.025645,-0.028035,-0.085768,-0.944324,-0.317640,-0.006807,-0.006283,-0.000979,-8.982677,-44.574001,2.222108,,,,,,,
1558974057.854024,-0.263365,1.235149,-1.247948,-0.006757,0.048025,0.002056,-0.085748,-0.944197,-0.318023,-0.018531,0.012007,-0.010590,-8.984075,-44.573368,2.229146,,,,,,,
