timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1558975135.013592,-0.957308,1.116358,-0.515437,0.078144,-0.373799,0.152586,-0.358911,-0.898508,-0.252718,0.006250,0.023966,0.001741,-28.369400,-37.194859,3.602046,,,,,,,
1558975135.033577,-0.967295,1.114551,-0.509921,0.021465,-0.140997,0.127010,-0.362753,-0.897713,-0.250042,-0.020563,-0.000984,-0.025944,-28.478842,-37.081585,3.894391,,,,,,,
1558975135.053592,-0.967914,1.112930,-0.507973,-0.019027,0.143466,0.068844,-0.364107,-0.896998,-0.250643,-0.022703,-0.003454,-0.024443,-28.556028,-37.021339,3.902350,,,,,,,
1558975135.073568,-0.967276,1.111148,-0.506640,0.060345,-0.008141,0.043970,-0.365262,-0.896208,-0.251782,-0.011935,0.003630,-0.014316,-28.627529,-36.976906,3.798388,,,,,,,
1558975135.093562,-0.976459,1.111787,-0.501478,0.129497,-0.344628,0.039757,-0.367084,-0.896492,-0.248096,0.013386,0.000282,-0.001766,-28.655119,-36.939960,3.946940,,,,,,,
1558975135.113558,-0.989398,1.111790,-0.495166,0.096475,-0.318980,0.111508,-0.370261,-0.896493,-0.243324,0.012427,-0.001044,0.000190,-28.660591,-36.910297,4.177926,,,,,,,
1558975135.133535,-0.996496,1.109774,-0.490669,-0.037023,-0.065445,0.250484,-0.373496,-0.895598,-0.241671,0.018790,-0.011674,0.000384,-28.689774,-36.861515,4.402330,,,,,,,
1558975135.153536,-0.997718,1.103951,-0.488176,-0.147248,0.083123,0.255021,-0.378166,-0.892993,-0.244038,-0.030540,-0.010068,0.001057,-28.929062,-36.679989,4.352324,,,,,,,
1558975135.173497,-0.991458,1.097912,-0.493012,-0.341774,0.128414,0.170955,-0.381137,-0.890258,-0.249348,-0.035337,0.000976,0.007039,-29.058140,-36.593742,4.216302,,,,,,,
1558975135.193511,-0.979594,1.090971,-0.503117,-0.510666,0.204239,0.098948,-0.383273,-0.887076,-0.257291,-0.016858,-0.012674,0.030041,-29.210197,-36.503105,3.942418,,,,,,,
1558975135.213501,-0.959595,1.083519,-0.520412,-0.526440,0.257152,0.085562,-0.383455,-0.883611,-0.268690,0.020418,-0.001887,-0.021044,-29.311081,-36.485561,3.304399,,,,,,,
1558975135.233459,-0.944631,1.076257,-0.530855,-0.330712,0.263680,0.191478,-0.384580,-0.880188,-0.278151,0.019285,-0.009919,-0.008974,-29.330837,-36.481544,3.170774,,,,,,,
1558975135.253477,-0.940781,1.070918,-0.533628,-0.073166,-0.094999,0.153018,-0.387298,-0.877641,-0.282394,-0.074616,-0.018782,0.005920,-29.529371,-36.371109,2.532459,,,,,,,
1558975135.273466,-0.946362,1.071061,-0.531364,0.058679,-0.225983,-0.033901,-0.388767,-0.877709,-0.280155,-0.011700,0.008599,-0.010037,-29.610586,-36.299931,2.604445,,,,,,,
