timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1558972840.254144,0.689686,1.504091,1.284514,-0.247612,-0.360189,0.052825,0.042413,-0.997776,-0.051421,0.014075,-0.000240,0.027999,10.044538,-43.473476,-21.769091,,,,,,,
1558972840.274116,0.615539,1.500848,1.352963,-0.378415,-0.262061,0.184978,0.040355,-0.997555,-0.057064,0.021916,0.021313,0.033459,9.858337,-43.380062,-22.038893,,,,,,,
1558972840.294110,0.494509,1.496285,1.469824,-0.430512,-0.204584,0.268763,0.035330,-0.997225,-0.065524,0.021601,0.033236,0.036044,9.716683,-43.313896,-22.231100,,,,,,,
1558972840.314101,0.378073,1.491263,1.581816,-0.386114,-0.291468,0.285049,0.029327,-0.996839,-0.073839,0.038315,0.060148,0.029375,9.224101,-43.105549,-22.837624,,,,,,,
1558972840.334083,0.292622,1.487811,1.659028,-0.223958,-0.502648,0.297035,0.023911,-0.996559,-0.079367,0.055542,0.072959,0.035513,8.849642,-43.007271,-23.168682,,,,,,,
1558972840.354063,0.194693,1.487652,1.747148,-0.027049,-0.470791,0.380774,0.016067,-0.996545,-0.081479,0.041932,0.058618,0.036465,8.598288,-42.988258,-23.298243,,,,,,,
1558972840.374069,0.090967,1.489113,1.845180,0.022768,-0.188755,0.431557,0.007412,-0.996666,-0.081256,-0.004742,0.044731,0.049166,7.809484,-43.061916,-23.439552,,,,,,,
1558972840.394054,-0.023901,1.489787,1.959124,-0.114070,-0.010351,0.504688,-0.001934,-0.996721,-0.080898,0.006710,0.039506,0.033397,7.374296,-43.154034,-23.411072,,,,,,,
1558972840.414038,-0.162247,1.483692,2.098666,-0.328116,0.038583,0.668335,-0.014053,-0.996209,-0.085852,0.024596,0.036919,0.040045,7.148149,-43.159088,-23.471821,,,,,,,
1558972840.434023,-0.296673,1.471783,2.235429,-0.485481,0.162249,0.819931,-0.028898,-0.995102,-0.094533,0.034941,-0.010635,0.041982,6.303118,-43.050835,-23.908689,,,,,,,
1558972840.454009,-0.416748,1.455802,2.363335,-0.509600,0.305177,0.890677,-0.046446,-0.993395,-0.104920,-0.039232,-0.069654,0.019745,5.683409,-42.916130,-24.302963,,,,,,,
1558972840.473993,-0.467612,1.437603,2.422523,-0.817601,0.730294,0.646805,-0.059861,-0.991143,-0.118544,-0.067886,-0.050224,0.038741,5.380739,-42.835220,-24.513693,,,,,,,
1558972840.493973,-0.456433,1.416322,2.431312,-0.954942,0.968588,0.474949,-0.067814,-0.988093,-0.138110,-0.060299,-0.084524,0.038532,5.136791,-42.324196,-25.436291,,,,,,,
1558972840.513953,-0.429668,1.394547,2.421451,-1.044629,0.824044,0.337903,-0.073040,-0.984508,-0.159400,-0.034885,-0.029515,0.048454,5.235028,-41.854462,-26.182589,,,,,,,
1558972840.533933,-0.400003,1.376025,2.407107,-0.763620,0.757889,0.202971,-0.075369,-0.981092,-0.178264,-0.040948,-0.038729,0.034160,5.235028,-41.854462,-26.182589,,,,,,,
1558972840.553910,-0.375508,1.365402,2.398854,-0.393714,0.863579,0.081499,-0.074799,-0.978981,-0.189743,-0.039169,-0.032967,-0.021607,5.548957,-41.187569,-27.157368,,,,,,,
1558972840.573919,-0.349425,1.358870,2.388816,-0.405792,0.717664,0.007493,-0.072013,-0.977628,-0.197633,0.012183,-0.089710,-0.033813,6.157228,-40.871399,-27.501757,,,,,,,
1558972840.593900,-0.335690,1.350686,2.382266,-0.359749,0.189035,0.086814,-0.071925,-0.975873,-0.206151,0.023295,-0.071276,0.001332,6.157228,-40.871399,-27.501757,,,,,,,
1558972840.613890,-0.331350,1.345728,2.378536,-0.169887,-0.054137,0.007768,-0.072603,-0.974779,-0.211033,-0.044066,0.015016,-0.043545,6.401263,-40.556377,-27.909378,,,,,,,
1558972840.633873,-0.332615,1.347013,2.375203,0.196675,-0.303539,-0.082941,-0.072460,-0.975065,-0.209757,-0.035999,0.025587,-0.061666,6.329524,-40.460388,-28.064625,,,,,,,
