timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1558973168.169105,-0.584841,1.550735,1.056805,-0.031623,0.045263,-0.050648,-0.011074,-0.999799,-0.016726,-0.001010,0.017011,-0.000532,-21.206390,-44.218830,-4.008883,,,,,,,
1558973168.189108,-0.559746,1.551106,1.032622,0.023636,0.032339,-0.016563,-0.010453,-0.999806,-0.016682,0.008057,0.010915,-0.001643,-21.170454,-44.232986,-4.042501,,,,,,,
1558973168.209086,-0.572249,1.551961,1.044896,0.045717,-0.036436,0.014825,-0.010199,-0.999823,-0.015833,0.006582,0.007772,0.007974,-21.136250,-44.251266,-4.021386,,,,,,,
1558973168.229087,-0.626562,1.552530,1.098054,0.021180,-0.063853,0.025230,-0.010710,-0.999833,-0.014795,-0.000200,0.016755,0.011179,-21.151913,-44.247684,-3.978214,,,,,,,
1558973168.249050,-0.665473,1.552163,1.136160,-0.024443,-0.023463,0.014905,-0.011503,-0.999826,-0.014656,-0.007143,0.012980,0.002220,-21.186064,-44.237057,-3.914128,,,,,,,
1558973168.269044,-0.651647,1.551307,1.122080,-0.027616,-0.020287,0.007460,-0.011821,-0.999810,-0.015497,-0.002491,0.008279,-0.006567,-21.213898,-44.221989,-3.933627,,,,,,,
1558973168.289024,-0.648803,1.550930,1.118632,-0.008471,-0.024614,0.008501,-0.012001,-0.999803,-0.015826,0.000465,0.004487,-0.003187,-21.226904,-44.214352,-3.949268,,,,,,,
1558973168.309032,-0.659133,1.550384,1.128687,0.001104,-0.015116,0.032088,-0.012502,-0.999792,-0.016137,-0.002879,0.004415,-0.007926,-21.231951,-44.211941,-3.949153,,,,,,,
1558973168.329017,-0.684380,1.549180,1.153084,0.026444,-0.058525,0.073331,-0.013663,-0.999766,-0.016746,0.001563,0.006923,-0.017877,-21.290482,-44.183250,-3.955143,,,,,,,
1558973168.348990,-0.755581,1.548252,1.223140,0.065826,-0.060853,0.069070,-0.015456,-0.999746,-0.016406,-0.006395,-0.002467,-0.012128,-21.347107,-44.156155,-3.952517,,,,,,,
1558973168.368988,-0.838504,1.548229,1.304852,0.060606,-0.048202,0.028618,-0.016778,-0.999745,-0.015084,-0.013739,-0.002650,-0.004355,-21.404202,-44.132828,-3.903932,,,,,,,
1558973168.388974,-0.886616,1.548311,1.352891,-0.005114,0.015496,-0.016732,-0.017424,-0.999747,-0.014211,-0.011979,-0.007882,0.007452,-21.470510,-44.108929,-3.808766,,,,,,,
1558973168.408959,-0.867901,1.548519,1.334143,0.015010,-0.020566,-0.028805,-0.016996,-0.999752,-0.014400,-0.002948,-0.006733,-0.006169,-21.467535,-44.109776,-3.815770,,,,,,,
1558973168.428944,-0.875322,1.549443,1.341050,0.065063,-0.015550,-0.032987,-0.016395,-0.999772,-0.013683,-0.001199,-0.014312,-0.003407,-21.449976,-44.119949,-3.796816,,,,,,,
1558973168.448902,-0.916828,1.550906,1.382634,0.036384,0.008931,-0.019965,-0.015785,-0.999802,-0.012099,0.000892,-0.014587,0.012663,-21.415470,-44.143150,-3.721200,,,,,,,
1558973168.468916,-0.923837,1.551355,1.390043,-0.032738,0.025135,-0.029473,-0.015513,-0.999811,-0.011719,-0.009847,-0.012915,0.023956,-21.403246,-44.152443,-3.681002,,,,,,,
1558973168.488875,-0.898432,1.551732,1.364799,-0.010480,-0.012002,-0.045825,-0.014917,-0.999818,-0.011875,-0.008750,-0.013869,0.015766,-21.388157,-44.158012,-3.701878,,,,,,,
1558973168.508881,-0.903563,1.553476,1.368601,0.029709,-0.096790,-0.056214,-0.013604,-0.999850,-0.010717,0.006158,-0.002515,0.018072,-21.333628,-44.187855,-3.660212,,,,,,,
1558973168.528853,-0.887853,1.554394,1.351080,-0.019205,-0.074314,-0.041091,-0.012721,-0.999865,-0.010349,-0.002614,-0.002530,0.011524,-21.296227,-44.211338,-3.593801,,,,,,,
1558973168.548842,-0.827516,1.554455,1.290107,-0.052011,-0.011766,-0.033045,-0.012031,-0.999866,-0.011058,0.000816,0.003315,0.004802,-21.275126,-44.223492,-3.569174,,,,,,,
