timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1558219218.016430,0.078194,0.101463,0.644717,0.360656,-0.140559,0.126502,0.077713,-0.101289,-0.991817,0.011398,0.010117,-0.014256,1.154001,-18.768864,-42.799995,,,,,,,
1558219218.016063,0.081229,0.094338,0.643166,0.239292,-0.168539,0.073822,0.080779,-0.094199,-0.992271,0.016786,0.003592,-0.028847,1.238199,-18.650721,-42.849258,,,,,,,
1558219218.056056,0.074278,0.105494,0.647484,0.040844,-0.259300,0.177423,0.073798,-0.105299,-0.991699,-0.005347,-0.028079,0.025466,0.891350,-19.159088,-42.633045,,,,,,,
1558219218.076030,0.067927,0.102716,0.652848,-0.243698,-0.316863,0.267394,0.067517,-0.102535,-0.992435,-0.022992,0.062954,-0.029186,0.567092,-19.088724,-42.670139,,,,,,,
1558219218.096024,0.058071,0.098942,0.657535,-0.124835,-0.447571,0.220330,0.057755,-0.098781,-0.993432,0.014587,-0.016835,0.062081,0.355038,-18.981995,-42.720013,,,,,,,
1558219218.116009,0.046746,0.099901,0.661655,0.064002,-0.661081,0.181070,0.046496,-0.099735,-0.993927,0.003263,-0.029858,0.032211,-0.397432,-18.882343,-42.763779,,,,,,,
1558219218.135966,0.031004,0.101003,0.664616,0.000741,-0.814062,0.149660,0.030841,-0.100831,-0.994425,-0.014575,-0.002242,0.032801,-1.084419,-18.935734,-42.728256,,,,,,,
1558219218.155978,0.017918,0.099091,0.666411,-0.106670,-0.504999,0.050038,0.017829,-0.098929,-0.994935,0.006570,0.003928,0.044831,-1.451534,-18.921366,-42.723724,,,,,,,
1558219218.175962,0.009264,0.099291,0.666785,0.100429,-0.345487,0.006890,0.009219,-0.099128,-0.995032,-0.031451,-0.008644,0.000067,-2.157594,-18.834980,-42.732071,,,,,,,
1558219218.195933,0.008405,0.103150,0.667124,0.201072,0.161371,0.021431,0.008360,-0.102967,-0.994650,-0.020827,0.027803,0.014394,-2.310591,-18.932245,-42.681061,,,,,,,
1558219218.215914,0.015345,0.105802,0.667930,0.096431,0.408273,0.067484,0.015259,-0.105605,-0.994291,-0.018097,0.019881,0.006727,-2.149554,-19.086756,-42.620617,,,,,,,
1558219218.235901,0.019155,0.108064,0.672109,0.212614,-0.047438,0.382441,0.019042,-0.107854,-0.993984,-0.006072,-0.039867,-0.087452,-1.843086,-19.174385,-42.595631,,,,,,,
1558219218.255870,0.014821,0.115600,0.682258,0.447463,-0.116147,0.499412,0.014722,-0.115343,-0.993217,0.034381,0.042757,-0.040536,-2.060272,-19.338326,-42.511482,,,,,,,
1558219218.275880,0.017619,0.123533,0.687263,0.306951,0.351204,0.105540,0.017484,-0.123219,-0.992226,0.041125,0.067356,-0.029686,-2.267520,-19.600206,-42.380795,,,,,,,
1558219218.295857,0.028515,0.127778,0.689602,0.021544,0.664617,0.170236,0.028278,-0.127431,-0.991444,-0.023151,-0.004863,0.006550,-1.878729,-19.998590,-42.213367,,,,,,,
1558219218.315837,0.039760,0.125503,0.693761,-0.199220,0.554845,0.206376,0.039437,-0.125174,-0.991351,-0.004311,-0.011773,0.004427,-1.435610,-19.936829,-42.259953,,,,,,,
1558219218.335811,0.050884,0.120139,0.697488,-0.235549,0.480939,0.135175,0.050495,-0.119850,-0.991507,-0.025974,-0.043984,-0.027460,-1.230018,-19.836462,-42.313633,,,,,,,
1558219218.355822,0.054366,0.120998,0.698668,0.194058,-0.008702,0.067841,0.053941,-0.120703,-0.991222,-0.047670,-0.046427,-0.086918,-0.778580,-19.647278,-42.412498,,,,,,,
1558219218.375807,0.053892,0.129078,0.701183,0.457025,0.024868,0.115349,0.053418,-0.128719,-0.990241,0.002902,0.006695,-0.014352,-0.845735,-19.925406,-42.281254,,,,,,,
1558219218.395790,0.054408,0.137187,0.701900,0.228483,0.086204,0.038883,0.053870,-0.136757,-0.989139,-0.007971,-0.033562,0.002719,-0.845735,-19.925406,-42.281254,,,,,,,
1558219218.415748,0.057392,0.137988,0.701810,-0.050047,0.161541,-0.039625,0.056815,-0.137551,-0.988864,0.021432,-0.015952,-0.025434,-0.828483,-20.391716,-42.058685,,,,,,,
1558219218.435760,0.059293,0.136656,0.700440,-0.032422,0.006029,-0.066723,0.058706,-0.136231,-0.988936,-0.015188,0.011444,-0.044542,-0.630317,-20.348984,-42.082813,,,,,,,
1558219218.455721,0.059249,0.138778,0.700038,0.205996,0.039793,0.024541,0.058645,-0.138333,-0.988648,-0.024664,0.026638,-0.016097,-0.630317,-20.348984,-42.082813,,,,,,,
1558219218.475727,0.059911,0.144531,0.701231,0.283575,0.032119,0.100330,0.059251,-0.144028,-0.987798,0.012832,-0.022507,0.007314,-0.611754,-20.486040,-42.016537,,,,,,,
1558219218.495714,0.059553,0.148102,0.703420,0.092754,-0.039771,0.128315,0.058867,-0.147562,-0.987300,-0.005949,-0.013083,-0.004995,-0.646514,-20.793297,-41.864811,,,,,,,
1558219218.515688,0.057863,0.149422,0.705602,0.041796,-0.021612,0.077202,0.057187,-0.148867,-0.987202,-0.017056,-0.007826,-0.005809,-0.691218,-20.824108,-41.848778,,,,,,,
1558219218.535682,0.056803,0.150700,0.706249,0.060848,-0.078870,0.024354,0.056129,-0.150130,-0.987072,-0.009331,-0.005143,0.025264,-0.807971,-20.899136,-41.809269,,,,,,,
1558219218.555667,0.052961,0.150450,0.708113,0.072047,-0.169631,0.161221,0.052338,-0.149883,-0.987318,-0.021775,0.046947,0.081708,-0.927555,-20.943520,-41.784569,,,,,,,
1558219218.575624,0.047714,0.152734,0.714970,0.091595,-0.231628,0.476667,0.047140,-0.152141,-0.987234,-0.037909,0.009654,0.076773,-0.927555,-20.943520,-41.784569,,,,,,,
1558219218.595631,0.041355,0.153934,0.723435,-0.041112,-0.198405,0.315664,0.040854,-0.153327,-0.987331,-0.014121,-0.020028,0.042567,-1.628589,-20.968002,-41.750832,,,,,,,
1558219218.615603,0.039619,0.150317,0.728201,-0.325493,0.027018,0.209761,0.039162,-0.149752,-0.987948,-0.023644,-0.051420,0.012652,-1.843625,-20.892820,-41.779572,,,,,,,
1558219218.635591,0.043170,0.140727,0.731749,-0.525598,0.312262,0.113040,0.042730,-0.140263,-0.989192,-0.026509,0.004033,-0.025121,-1.842619,-20.630974,-41.909538,,,,,,,
1558219218.655567,0.053365,0.132014,0.732772,-0.381720,0.618870,-0.038719,0.052876,-0.131631,-0.989888,-0.028508,0.003015,-0.046169,-1.464607,-20.120228,-42.171947,,,,,,,
1558219218.675545,0.067543,0.125039,0.731520,-0.342972,0.717925,-0.106069,0.066964,-0.124714,-0.989930,0.016638,-0.011608,-0.033126,-0.866814,-19.822605,-42.329124,,,,,,,
1558219218.695558,0.079924,0.117333,0.729995,-0.412855,0.512189,-0.096350,0.079290,-0.117064,-0.989954,0.044963,-0.013628,-0.055456,-0.546081,-19.677246,-42.402229,,,,,,,
1558219218.715543,0.087599,0.108021,0.730352,-0.497831,0.315205,0.058640,0.086977,-0.107811,-0.990359,0.005705,0.001366,-0.056592,0.127635,-19.145065,-42.648468,,,,,,,
