timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1558216575.861937,0.114080,0.524349,0.230523,0.007280,-0.051585,-0.044296,0.098539,-0.500650,-0.860023,-0.040098,-0.014945,-0.056359,2.870198,-32.454227,-29.496782,,,,,,,
1558216575.881922,0.113631,0.525377,0.229524,0.127431,-0.072234,-0.000625,0.098095,-0.501539,-0.859556,0.031834,0.011701,-0.024538,2.867861,-32.446514,-29.505491,,,,,,,
1558216575.901907,0.111994,0.527449,0.230538,0.066765,-0.029506,0.086215,0.096571,-0.503331,-0.858680,0.015612,0.011342,-0.016167,2.806544,-32.515133,-29.435764,,,,,,,
1558216575.921884,0.111029,0.528009,0.233371,-0.016113,0.040772,0.139136,0.095711,-0.503814,-0.858493,0.006309,0.006561,-0.011578,2.770764,-32.534458,-29.417799,,,,,,,
1558216575.941860,0.109923,0.527617,0.236245,-0.030057,-0.008893,0.100214,0.094783,-0.503475,-0.858795,-0.006908,-0.011326,-0.010010,2.669393,-32.531445,-29.430502,,,,,,,
1558216575.961861,0.108271,0.528568,0.238221,0.020067,0.000295,0.059772,0.093313,-0.504297,-0.858474,-0.014990,-0.013342,0.009917,2.611753,-32.529160,-29.438198,,,,,,,
1558216575.981821,0.107831,0.529313,0.239059,0.034970,-0.014631,0.026544,0.092895,-0.504940,-0.858141,-0.010162,-0.013630,0.012438,2.611753,-32.529160,-29.438198,,,,,,,
1558216576.001827,0.107083,0.530066,0.239204,0.028494,-0.048443,0.012335,0.092212,-0.505590,-0.857832,0.003125,0.003072,0.010481,2.540295,-32.582142,-29.385811,,,,,,,
1558216576.021816,0.105996,0.530666,0.239848,0.017882,-0.025090,0.041377,0.091247,-0.506108,-0.857630,-0.000213,0.011128,0.010981,2.488820,-32.613243,-29.355694,,,,,,,
1558216576.041788,0.105528,0.529944,0.240931,-0.085215,0.019836,0.034251,0.090884,-0.505485,-0.858036,-0.001041,0.007026,0.010242,2.488820,-32.613243,-29.355694,,,,,,,
1558216576.061787,0.106552,0.527433,0.241729,-0.172259,0.088984,0.024166,0.091898,-0.503317,-0.859202,-0.001810,0.002538,0.007059,2.459615,-32.580631,-29.394348,,,,,,,
1558216576.081744,0.107839,0.523895,0.242865,-0.194556,0.104951,0.021098,0.093195,-0.500257,-0.860847,-0.000803,-0.006091,0.000236,2.505805,-32.437988,-29.547806,,,,,,,
1558216576.101756,0.109832,0.520602,0.243611,-0.140279,0.101496,0.021108,0.095090,-0.497402,-0.862293,0.004398,-0.004200,-0.004147,2.505805,-32.437988,-29.547806,,,,,,,
1558216576.121740,0.112159,0.518023,0.243786,-0.058604,0.022880,0.040704,0.097239,-0.495164,-0.863341,0.015828,0.015946,0.003569,2.600515,-32.292236,-29.698883,,,,,,,
1558216576.141708,0.110867,0.516925,0.245043,-0.045104,-0.070177,0.061176,0.096184,-0.494209,-0.864006,0.009742,0.016777,0.016456,2.606069,-32.218861,-29.777987,,,,,,,
1558216576.161708,0.109590,0.516001,0.246241,-0.016247,-0.034389,0.061541,0.095131,-0.493405,-0.864582,0.010765,0.016217,0.003376,2.606069,-32.218861,-29.777987,,,,,,,
1558216576.181694,0.110058,0.515221,0.247430,-0.007416,0.065995,0.069981,0.095578,-0.492727,-0.864919,0.008304,0.012777,0.000524,2.539657,-32.177345,-29.828568,,,,,,,
1558216576.201676,0.110788,0.514056,0.249455,-0.099996,0.085541,0.092514,0.096272,-0.491713,-0.865419,0.000408,0.008437,0.007493,2.554677,-32.130615,-29.877619,,,,,,,
1558216576.221664,0.111021,0.511138,0.252263,-0.183095,0.073322,0.111548,0.096632,-0.489170,-0.866819,0.000810,0.002811,0.009504,2.554677,-32.130615,-29.877619,,,,,,,
1558216576.241649,0.111326,0.508181,0.254841,-0.153264,0.067837,0.082693,0.097057,-0.486589,-0.868223,0.003574,-0.005263,0.002897,2.527952,-32.003551,-30.015951,,,,,,,
1558216576.261615,0.111078,0.506330,0.256918,-0.101201,0.032664,0.070654,0.096941,-0.484971,-0.869141,-0.006289,-0.009963,0.003510,2.497315,-31.893204,-30.135725,,,,,,,
1558216576.281619,0.110107,0.504218,0.258770,-0.155514,0.018128,0.055525,0.096210,-0.483123,-0.870250,-0.009464,-0.016465,-0.006092,2.482810,-31.863930,-30.167870,,,,,,,
1558216576.301602,0.109884,0.501115,0.261049,-0.222340,0.094598,0.066881,0.096180,-0.480404,-0.871758,-0.009052,-0.011417,-0.004753,2.423803,-31.802378,-30.237541,,,,,,,
1558216576.321582,0.109853,0.497278,0.263563,-0.154388,0.055175,0.096453,0.096354,-0.477035,-0.873586,-0.001810,-0.013733,-0.025034,2.417385,-31.650759,-30.396719,,,,,,,
1558216576.341572,0.109228,0.497148,0.265960,0.076504,0.020122,0.086694,0.095815,-0.476921,-0.873708,-0.012548,-0.007500,-0.022913,2.368177,-31.575941,-30.478298,,,,,,,
1558216576.361558,0.106963,0.501793,0.267544,0.215846,-0.033532,0.041453,0.093598,-0.480998,-0.871711,-0.025727,-0.028523,-0.016137,2.314863,-31.624596,-30.431911,,,,,,,
1558216576.381450,0.107083,0.506937,0.268769,0.224078,0.219099,0.075909,0.093437,-0.485502,-0.869228,-0.066841,-0.036577,-0.039006,2.183500,-31.817976,-30.239439,,,,,,,
1558216576.401460,0.115639,0.512060,0.271530,0.260362,0.617555,0.179043,0.100582,-0.489974,-0.865915,-0.090603,-0.026993,-0.040274,2.247960,-31.922743,-30.124077,,,,,,,
1558216576.421445,0.127083,0.518757,0.275646,0.320137,0.688127,0.224608,0.110067,-0.495801,-0.861433,-0.036779,0.002012,0.006468,2.484399,-32.084053,-29.933529,,,,,,,
1558216576.441430,0.136985,0.524780,0.280189,0.232342,0.539568,0.236995,0.118181,-0.501023,-0.857327,-0.019106,-0.017822,0.022686,2.797704,-32.330925,-29.638809,,,,,,,
1558216576.461414,0.143192,0.528126,0.284424,0.088079,0.347877,0.188068,0.123260,-0.503916,-0.854913,-0.027084,-0.030096,0.024011,2.922113,-32.442993,-29.504042,,,,,,,
1558216576.481396,0.146213,0.531739,0.289634,0.129899,0.449157,0.209359,0.125576,-0.507033,-0.852730,-0.067120,-0.018479,0.030235,3.017446,-32.518749,-29.410896,,,,,,,
1558216576.501385,0.155804,0.537578,0.294022,0.346639,0.659462,0.237169,0.133287,-0.512057,-0.848547,-0.043551,-0.000318,0.016180,3.142231,-32.718468,-29.175385,,,,,,,
1558216576.521349,0.165760,0.546436,0.296683,0.398271,0.446559,0.122002,0.140975,-0.519646,-0.842671,-0.016844,0.007378,0.006444,3.257982,-32.834480,-29.032007,,,,,,,
1558216576.541342,0.171840,0.550161,0.295176,0.020795,0.141659,-0.113966,0.145764,-0.522825,-0.839885,0.034580,0.000455,0.015575,3.540905,-33.135887,-28.653963,,,,,,,
1558216576.561322,0.174117,0.547348,0.292235,-0.130695,0.038863,-0.117207,0.147930,-0.520424,-0.840997,0.007404,0.031716,0.004495,3.674250,-33.079865,-28.701870,,,,,,,
