timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1558219168.723333,0.006964,0.060886,0.170630,0.278676,-0.681351,0.003039,0.006951,-0.060848,-0.998123,0.006919,0.006741,0.020797,5.145968,-16.457451,-45.080910,,,,,,,
1558219168.743336,-0.005543,0.064956,0.170942,0.171445,-0.578200,0.041308,-0.005531,-0.064910,-0.997876,0.023232,0.009475,0.009991,4.547062,-16.669851,-45.067253,,,,,,,
1558219168.763313,-0.014517,0.066391,0.172335,0.005002,-0.355302,0.075337,-0.014484,-0.066342,-0.997692,0.014133,0.012235,-0.004109,4.300539,-16.737373,-45.066425,,,,,,,
1558219168.783289,-0.018848,0.064237,0.173668,-0.142120,-0.107214,0.058376,-0.018808,-0.064193,-0.997760,-0.006278,0.007049,-0.002148,3.824439,-16.726301,-45.113430,,,,,,,
1558219168.803289,-0.018433,0.060934,0.174698,-0.167041,0.084238,0.060189,-0.018398,-0.060896,-0.997975,-0.009190,0.004927,-0.004711,3.776062,-16.577877,-45.172253,,,,,,,
1558219168.823271,-0.016205,0.057897,0.176354,-0.136152,0.106326,0.095657,-0.016177,-0.057865,-0.998193,-0.008848,0.002918,-0.000296,3.830310,-16.471952,-45.206425,,,,,,,
1558219168.843237,-0.015366,0.055961,0.177748,-0.107569,0.033161,0.041597,-0.015341,-0.055932,-0.998317,-0.008340,-0.016013,-0.012532,3.887073,-16.336966,-45.250542,,,,,,,
1558219168.863225,-0.014344,0.053547,0.177137,-0.140263,0.075448,-0.069060,-0.014323,-0.053521,-0.998464,-0.015005,-0.012015,-0.017497,3.916864,-16.251974,-45.278568,,,,,,,
1558219168.883217,-0.011512,0.049650,0.174903,-0.230362,0.167803,-0.121630,-0.011497,-0.049630,-0.998702,0.000282,-0.005180,-0.018587,3.969989,-16.180794,-45.299427,,,,,,,
1558219168.903193,-0.006638,0.043973,0.173332,-0.306758,0.283551,-0.033037,-0.006632,-0.043959,-0.999011,-0.001196,0.009230,-0.045270,4.272802,-15.837906,-45.392960,,,,,,,
1558219168.923178,-0.000572,0.038392,0.174273,-0.247195,0.325703,0.091262,-0.000571,-0.038383,-0.999263,-0.010446,0.003562,-0.050420,4.470860,-15.633030,-45.444878,,,,,,,
1558219168.943153,0.005868,0.035195,0.175743,-0.101386,0.296327,0.044121,0.005865,-0.035188,-0.999363,0.007639,-0.000762,-0.042903,4.743437,-15.432418,-45.485794,,,,,,,
1558219168.963161,0.011030,0.035021,0.175543,0.005971,0.213201,-0.033460,0.011023,-0.035013,-0.999326,0.001551,-0.009512,-0.017733,5.061445,-15.370427,-45.472507,,,,,,,
1558219168.983146,0.013987,0.034788,0.174495,-0.031601,0.103423,-0.064435,0.013978,-0.034781,-0.999297,-0.001267,-0.010584,-0.004487,5.198930,-15.369101,-45.457443,,,,,,,
1558219169.003129,0.014843,0.033374,0.172926,-0.088317,0.002213,-0.087870,0.014834,-0.033368,-0.999333,0.008420,-0.007831,0.004964,5.302413,-15.326069,-45.460014,,,,,,,
1558219169.023114,0.014250,0.031585,0.171208,-0.106650,-0.067444,-0.082145,0.014243,-0.031580,-0.999400,0.006891,-0.003363,-0.009344,5.328340,-15.220774,-45.492348,,,,,,,
1558219169.043088,0.012531,0.029395,0.169724,-0.101413,-0.089657,-0.073813,0.012525,-0.029391,-0.999490,0.010241,-0.004392,-0.013480,5.292088,-15.139799,-45.523594,,,,,,,
1558219169.063083,0.011864,0.027808,0.168549,-0.054397,-0.021152,-0.043225,0.011859,-0.027804,-0.999543,0.008694,0.002459,-0.015945,5.254019,-15.039713,-45.561161,,,,,,,
1558219169.083066,0.012581,0.027241,0.168453,0.004171,0.012455,0.015864,0.012576,-0.027238,-0.999550,0.009885,0.001618,-0.017220,5.265505,-14.985110,-45.577824,,,,,,,
1558219169.103029,0.012580,0.027874,0.168893,0.019996,-0.030966,0.015461,0.012575,-0.027871,-0.999532,0.001631,-0.005500,-0.012583,5.282082,-15.001735,-45.570435,,,,,,,
1558219169.123035,0.011828,0.027752,0.168516,-0.040586,-0.028618,-0.041151,0.011823,-0.027749,-0.999545,0.001071,-0.007865,-0.012204,5.265803,-15.016028,-45.567612,,,,,,,
1558219169.143019,0.012100,0.026475,0.167583,-0.075540,0.024417,-0.040671,0.012095,-0.026472,-0.999576,0.004521,0.003172,-0.014111,5.257241,-14.967997,-45.584400,,,,,,,
1558219169.162980,0.012962,0.025245,0.167263,-0.034108,0.017918,-0.000130,0.012957,-0.025242,-0.999597,0.012342,0.005345,-0.008169,5.311941,-14.894351,-45.602180,,,,,,,
1558219169.182987,0.013084,0.024894,0.167990,0.000834,-0.011774,0.058334,0.013080,-0.024891,-0.999605,0.007932,0.005116,-0.005034,5.315962,-14.881821,-45.605801,,,,,,,
1558219169.202971,0.012641,0.024920,0.169078,-0.002431,-0.040318,0.043111,0.012637,-0.024917,-0.999610,0.001813,-0.003678,-0.001230,5.286813,-14.874763,-45.611492,,,,,,,
1558219169.222947,0.011879,0.025221,0.169911,0.018877,-0.033025,0.047469,0.011875,-0.025218,-0.999611,-0.000004,-0.000447,-0.010200,5.241344,-14.892406,-45.610981,,,,,,,
1558219169.242939,0.011266,0.026886,0.171147,0.133829,-0.027256,0.067901,0.011261,-0.026883,-0.999575,0.000473,0.001889,-0.016721,5.219209,-14.908024,-45.608418,,,,,,,
1558219169.262896,0.011385,0.030699,0.172669,0.229765,0.025130,0.094103,0.011379,-0.030694,-0.999464,0.005864,0.008218,-0.012712,5.180490,-15.016069,-45.577374,,,,,,,
1558219169.282908,0.013728,0.034260,0.175574,0.204717,0.212464,0.169543,0.013719,-0.034254,-0.999319,0.002440,0.015501,0.006521,5.194798,-15.304071,-45.479847,,,,,,,
1558219169.302864,0.018155,0.037747,0.179348,0.177868,0.155576,0.202074,0.018141,-0.037738,-0.999123,0.011659,0.012118,0.020836,5.194798,-15.304071,-45.479847,,,,,,,
1558219169.322871,0.019356,0.041527,0.184083,0.240189,0.039074,0.267203,0.019338,-0.041515,-0.998951,-0.007360,0.013805,0.022632,5.398772,-15.547218,-45.373497,,,,,,,
1558219169.342841,0.018587,0.047875,0.189657,0.314782,0.067231,0.277141,0.018565,-0.047857,-0.998682,-0.010096,-0.010065,-0.029959,5.275274,-15.929270,-45.255352,,,,,,,
1558219169.362831,0.020776,0.055179,0.193983,0.366285,0.150332,0.188295,0.020743,-0.055151,-0.998263,0.001413,-0.007425,-0.029005,5.275274,-15.929270,-45.255352,,,,,,,
1558219169.382827,0.024281,0.062911,0.197968,0.391907,0.197845,0.243220,0.024231,-0.062869,-0.997728,0.004074,0.015033,-0.015090,5.369543,-16.639505,-44.987911,,,,,,,
