timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1558216531.660580,-0.056575,1.058135,0.172956,0.004808,-0.208111,0.088991,-0.027735,-0.871442,-0.489713,0.022471,-0.006533,-0.013659,-0.970221,-46.054485,-7.919757,,,,,,,
1558216531.680595,-0.059515,1.058872,0.174672,0.120342,-0.038551,0.080028,-0.029137,-0.871804,-0.488988,0.019676,-0.002510,-0.017161,-1.037491,-46.051186,-7.930393,,,,,,,
1558216531.700579,-0.063291,1.061603,0.178187,0.134160,-0.047088,0.074619,-0.030832,-0.873138,-0.486497,0.006113,-0.002579,-0.007033,-1.136334,-46.074409,-7.780541,,,,,,,
1558216531.720552,-0.066717,1.063140,0.181156,0.087398,-0.028889,0.064079,-0.032409,-0.873886,-0.485049,-0.001587,0.003739,-0.004362,-1.155338,-46.079185,-7.749393,,,,,,,
1558216531.740548,-0.069126,1.064900,0.184005,0.106720,0.016449,0.055987,-0.033471,-0.874741,-0.483434,0.002893,-0.005005,-0.001963,-1.254358,-46.095818,-7.634242,,,,,,,
1558216531.760533,-0.069227,1.067640,0.184000,0.136430,-0.045120,-0.015044,-0.033354,-0.876065,-0.481038,0.007445,-0.006641,-0.003321,-1.281086,-46.102684,-7.588197,,,,,,,
1558216531.780489,-0.070090,1.070005,0.183146,0.086245,-0.095605,-0.023041,-0.033624,-0.877203,-0.478941,-0.022238,-0.001444,0.002806,-1.264259,-46.133801,-7.399550,,,,,,,
1558216531.800502,-0.073285,1.069906,0.184914,-0.031722,-0.019882,0.014959,-0.035161,-0.877156,-0.478917,-0.015102,-0.006649,-0.007197,-1.262568,-46.144241,-7.334455,,,,,,,
1558216531.820486,-0.072402,1.068889,0.185214,-0.014261,0.089968,-0.001024,-0.034802,-0.876666,-0.479838,-0.001148,0.003497,-0.005956,-1.312541,-46.135983,-7.377517,,,,,,,
1558216531.840470,-0.071420,1.069332,0.185667,0.038952,0.075911,-0.024603,-0.034303,-0.876880,-0.479485,-0.009291,-0.000409,0.004814,-1.311547,-46.132416,-7.399953,,,,,,,
1558216531.860452,-0.071300,1.071985,0.186198,0.070850,0.046088,-0.063295,-0.034080,-0.878152,-0.477167,-0.011056,-0.013389,0.011530,-1.317709,-46.143852,-7.327200,,,,,,,
1558216531.880423,-0.068650,1.075855,0.183814,0.103844,0.033197,-0.084745,-0.032582,-0.879997,-0.473861,-0.003322,-0.008462,0.020385,-1.255347,-46.172653,-7.154700,,,,,,,
1558216531.900423,-0.065443,1.079670,0.180333,0.091901,-0.029071,-0.062931,-0.030842,-0.881802,-0.470610,0.005650,0.001584,0.023314,-1.191937,-46.198292,-6.998335,,,,,,,
1558216531.920379,-0.066344,1.082009,0.180024,0.025886,-0.029765,-0.051244,-0.031130,-0.882903,-0.468523,-0.010573,0.004637,0.017610,-1.146719,-46.221901,-6.848396,,,,,,,
1558216531.940379,-0.062497,1.082920,0.176200,-0.048352,0.035043,-0.091255,-0.029276,-0.883330,-0.467836,0.008189,0.005141,0.017640,-1.092770,-46.233303,-6.779914,,,,,,,
1558216531.960376,-0.057415,1.081945,0.170915,-0.051816,-0.032538,-0.058810,-0.026948,-0.882873,-0.468838,0.011216,0.018829,0.006771,-0.988666,-46.234097,-6.790482,,,,,,,
1558216531.980346,-0.058478,1.081141,0.170355,0.001062,-0.096102,0.031373,-0.027488,-0.882495,-0.469517,-0.001611,0.010517,-0.012187,-0.935376,-46.229290,-6.830593,,,,,,,
1558216532.000325,-0.063689,1.081058,0.174880,0.053535,0.012534,0.059149,-0.029939,-0.882456,-0.469442,-0.026076,-0.009436,-0.011637,-1.007142,-46.224415,-6.853374,,,,,,,
1558216532.020330,-0.064483,1.081869,0.176743,0.012346,0.076055,-0.018213,-0.030266,-0.882837,-0.468703,-0.016976,-0.014395,0.000563,-1.065597,-46.225952,-6.834131,,,,,,,
1558216532.040292,-0.060536,1.082052,0.173639,-0.024879,0.045466,-0.106082,-0.028405,-0.882923,-0.468658,-0.003638,-0.005825,0.006149,-1.067650,-46.228661,-6.815459,,,,,,,
1558216532.060283,-0.055827,1.081908,0.168404,-0.023013,-0.029575,-0.095056,-0.026205,-0.882855,-0.468913,0.022757,0.017255,0.009288,-0.931161,-46.230305,-6.824327,,,,,,,
1558216532.080283,-0.052191,1.081884,0.163795,0.013057,-0.048731,-0.055710,-0.024501,-0.882844,-0.469027,0.025539,0.023378,0.007998,-0.806332,-46.231087,-6.834920,,,,,,,
1558216532.100243,-0.050629,1.082265,0.160864,0.020298,-0.090978,-0.008067,-0.023752,-0.883023,-0.468728,0.036798,0.026593,-0.001411,-0.738247,-46.233303,-6.827591,,,,,,,
1558216532.120248,-0.053861,1.082475,0.162269,0.007441,-0.085525,0.059237,-0.025256,-0.883122,-0.468464,0.015674,0.022206,-0.006390,-0.764587,-46.236080,-6.805843,,,,,,,
1558216532.140235,-0.057083,1.082045,0.164955,-0.042361,-0.014440,0.062012,-0.026787,-0.882920,-0.468759,0.004876,0.007584,-0.007056,-0.781178,-46.236103,-6.803791,,,,,,,
1558216532.160210,-0.058786,1.080160,0.167581,-0.108102,0.057762,0.048772,-0.027683,-0.882033,-0.470373,-0.007046,-0.004350,-0.001505,-0.869352,-46.229595,-6.837261,,,,,,,
1558216532.180204,-0.059059,1.077623,0.168946,-0.096467,0.031263,0.039986,-0.027944,-0.880835,-0.472598,-0.000346,-0.000772,-0.010450,-0.925580,-46.206642,-6.983462,,,,,,,
