timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1558219131.964879,-0.001791,-0.012784,0.656697,0.001675,-0.000817,0.000445,-0.001791,0.012783,-0.999917,-0.003199,0.000507,-0.007896,-3.426960,-13.057272,-45.108570,,,,,,,
1558219131.984876,-0.001818,-0.012800,0.656721,0.000613,0.000246,0.001522,-0.001818,0.012799,-0.999916,-0.002089,0.001483,-0.007423,-3.429612,-13.057528,-45.108295,,,,,,,
1558219132.004849,-0.001742,-0.012801,0.656753,0.000609,-0.000810,0.001512,-0.001742,0.012801,-0.999917,0.003390,0.001787,-0.006034,-3.428298,-13.055609,-45.108948,,,,,,,
1558219132.024856,-0.001774,-0.012768,0.656767,0.001683,0.001294,-0.000603,-0.001774,0.012767,-0.999917,-0.002652,-0.000927,-0.007300,-3.428075,-13.056399,-45.108738,,,,,,,
1558219132.044820,-0.001816,-0.012729,0.656796,0.000620,0.001301,0.001520,-0.001816,0.012729,-0.999917,-0.002747,-0.001132,-0.008048,-3.430083,-13.057995,-45.108120,,,,,,,
1558219132.064816,-0.001861,-0.012747,0.656826,0.000619,0.001301,0.001520,-0.001861,0.012747,-0.999917,-0.002122,0.002024,-0.007438,-3.434882,-13.058035,-45.107742,,,,,,,
1558219132.084793,-0.001823,-0.012772,0.656851,-0.000450,0.000250,0.002576,-0.001823,0.012771,-0.999917,0.000663,0.000168,-0.006629,-3.434150,-13.057538,-45.107944,,,,,,,
1558219132.104795,-0.001790,-0.012727,0.656871,0.001689,0.002350,0.000463,-0.001790,0.012727,-0.999917,0.000005,-0.000871,-0.008307,-3.433452,-13.058015,-45.107857,,,,,,,
1558219132.124779,-0.001796,-0.012668,0.656885,0.001685,0.001293,0.000452,-0.001795,0.012668,-0.999918,-0.001195,-0.000293,-0.007223,-3.433049,-13.061134,-45.106987,,,,,,,
1558219132.144763,-0.001875,-0.012731,0.656920,0.001674,-0.000819,0.002567,-0.001875,0.012730,-0.999917,-0.002153,0.004878,-0.008918,-3.434389,-13.063375,-45.106236,,,,,,,
1558219132.164744,-0.001870,-0.012687,0.656939,0.002744,0.000231,0.001511,-0.001870,0.012686,-0.999918,0.000359,0.001520,-0.006430,-3.436843,-13.059907,-45.107052,,,,,,,
1558219132.184731,-0.001849,-0.012628,0.656959,-0.000451,0.000249,0.002576,-0.001849,0.012628,-0.999919,0.000186,-0.001351,-0.008291,-3.436173,-13.062967,-45.106220,,,,,,,
1558219132.204714,-0.001856,-0.012574,0.656994,0.001684,0.001290,0.001506,-0.001856,0.012574,-0.999919,-0.001287,-0.000870,-0.007695,-3.435753,-13.064237,-45.105885,,,,,,,
1558219132.224697,-0.001846,-0.012556,0.657008,0.000622,0.001294,0.000438,-0.001846,0.012556,-0.999919,-0.002655,0.002184,-0.008137,-3.436836,-13.066232,-45.105221,,,,,,,
1558219132.244682,-0.001785,-0.012643,0.657033,0.001687,0.002347,0.001516,-0.001785,0.012643,-0.999918,0.001190,0.003455,-0.007757,-3.435254,-13.062255,-45.106495,,,,,,,
1558219132.264666,-0.001747,-0.012601,0.657063,0.002748,0.001284,0.001507,-0.001747,0.012601,-0.999919,-0.001167,-0.001828,-0.008336,-3.431855,-13.061241,-45.107048,,,,,,,
1558219132.284643,-0.001801,-0.012533,0.657093,0.000616,0.000238,0.001495,-0.001801,0.012532,-0.999920,-0.002349,-0.002126,-0.007999,-3.433248,-13.064242,-45.106071,,,,,,,
1558219132.304633,-0.001848,-0.012512,0.657111,0.001680,0.000232,0.001495,-0.001848,0.012512,-0.999920,-0.002272,0.000397,-0.008091,-3.437937,-13.067679,-45.104717,,,,,,,
1558219132.324617,-0.001783,-0.012667,0.657136,0.002745,0.000225,0.000428,-0.001783,0.012667,-0.999918,0.001569,0.003660,-0.007360,-3.438084,-13.063735,-45.105850,,,,,,,
1558219132.344587,-0.001758,-0.012615,0.657161,0.001684,0.001287,0.000438,-0.001757,0.012615,-0.999919,0.000140,-0.000942,-0.008336,-3.435544,-13.061518,-45.106686,,,,,,,
1558219132.364585,-0.001869,-0.012516,0.657189,0.001679,0.000227,0.001480,-0.001869,0.012516,-0.999920,-0.001976,-0.002552,-0.007801,-3.437775,-13.064507,-45.105648,,,,,,,
1558219132.384569,-0.001820,-0.012465,0.657214,0.002744,0.000222,0.001481,-0.001819,0.012464,-0.999921,0.000553,0.000322,-0.006900,-3.439410,-13.069121,-45.104191,,,,,,,
1558219132.404547,-0.001850,-0.012557,0.657227,0.001687,0.002339,0.000433,-0.001850,0.012557,-0.999919,-0.002590,0.002412,-0.009648,-3.437431,-13.068065,-45.104645,,,,,,,
1558219132.424536,-0.001810,-0.012571,0.657252,0.000622,0.002345,0.000432,-0.001809,0.012571,-0.999919,0.000116,0.001131,-0.008290,-3.439332,-13.065962,-45.105110,,,,,,,
1558219132.444520,-0.001836,-0.012474,0.657281,0.000617,0.001289,0.001489,-0.001835,0.012473,-0.999921,-0.000774,-0.001823,-0.007556,-3.439456,-13.066291,-45.105003,,,,,,,
1558219132.464505,-0.001854,-0.012451,0.657316,0.000617,0.001288,0.001489,-0.001854,0.012451,-0.999921,-0.000404,0.001541,-0.007419,-3.441106,-13.071683,-45.103317,,,,,,,
1558219132.484488,-0.001915,-0.012484,0.657334,0.001676,-0.000833,0.000402,-0.001914,0.012484,-0.999920,-0.002678,0.003019,-0.005924,-3.441358,-13.070929,-45.103516,,,,,,,
1558219132.504471,-0.001921,-0.012574,0.657358,0.000613,0.000231,0.001479,-0.001921,0.012573,-0.999919,-0.001131,0.002014,-0.007558,-3.444664,-13.065968,-45.104698,,,,,,,
