timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1558219194.490998,-0.003177,-0.017160,0.715477,-0.000662,0.001055,0.000038,-0.003177,0.017159,-0.999848,0.001513,-0.002190,-0.008377,-3.882979,-16.921057,-43.750320,,,,,,,
1558219194.510983,-0.003138,-0.017125,0.715500,0.001465,0.001046,0.001108,-0.003137,0.017124,-0.999848,0.000589,0.000195,-0.006362,-3.879881,-16.924604,-43.749222,,,,,,,
1558219194.530954,-0.003104,-0.017200,0.715475,0.001464,-0.000014,-0.001038,-0.003104,0.017200,-0.999847,0.001761,0.003690,-0.007630,-3.879431,-16.925013,-43.749104,,,,,,,
1558219194.550952,-0.003072,-0.017168,0.715470,0.001468,0.001042,-0.001028,-0.003072,0.017167,-0.999848,0.000753,-0.001603,-0.007720,-3.877985,-16.920734,-43.750885,,,,,,,
1558219194.570936,-0.002900,-0.017029,0.715463,0.001466,0.001044,0.000040,-0.002899,0.017028,-0.999851,0.001038,-0.001327,-0.007397,-3.870003,-16.927399,-43.749016,,,,,,,
1558219194.590921,-0.002864,-0.017086,0.715459,0.000400,-0.000009,-0.001039,-0.002863,0.017085,-0.999850,0.000162,0.001973,-0.007718,-3.870003,-16.927399,-43.749016,,,,,,,
1558219194.610889,-0.002851,-0.017059,0.715438,0.002525,-0.001077,-0.001048,-0.002851,0.017058,-0.999850,-0.000201,-0.000243,-0.005963,-3.866505,-16.926140,-43.749809,,,,,,,
1558219194.630890,-0.002783,-0.016956,0.715445,0.001464,0.001046,0.001107,-0.002782,0.016955,-0.999852,0.000967,-0.001803,-0.009288,-3.864352,-16.930258,-43.748405,,,,,,,
1558219194.650854,-0.002674,-0.016860,0.715442,0.000407,0.002105,-0.001019,-0.002674,0.016859,-0.999854,0.003666,-0.003844,-0.006646,-3.862788,-16.932573,-43.747646,,,,,,,
1558219194.670828,-0.002604,-0.016775,0.715433,-0.000659,0.002112,0.000048,-0.002603,0.016774,-0.999856,0.000345,0.002986,-0.007926,-3.856753,-16.939819,-43.745377,,,,,,,
