timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1558216551.554813,0.085261,0.526953,0.412945,-0.507088,0.752530,-0.055213,0.073605,-0.502902,-0.861204,0.006351,-0.007657,-0.061678,-1.874462,-33.962570,-30.501963,,,,,,,
1558216551.574799,0.097583,0.513704,0.412247,-0.719194,0.336093,-0.076451,0.084853,-0.491406,-0.866787,0.003831,0.002042,-0.194690,-1.485931,-33.699928,-30.813095,,,,,,,
1558216551.594759,0.099934,0.502461,0.415753,-0.405002,0.190042,0.199991,0.087437,-0.481583,-0.872028,-0.069492,-0.045638,-0.022259,-1.282315,-33.373833,-31.175035,,,,,,,
1558216551.614746,0.099077,0.505172,0.422554,0.456572,0.051475,0.334946,0.086559,-0.483958,-0.870800,-0.031856,0.038828,0.089489,-1.339689,-33.110466,-31.452217,,,,,,,
1558216551.634730,0.093987,0.522968,0.426831,1.002928,-0.234827,0.233352,0.081305,-0.499453,-0.862517,0.011789,-0.040921,0.037429,-1.585819,-33.558216,-30.962418,,,,,,,
1558216551.654727,0.094254,0.540677,0.430629,0.688724,0.358756,0.236646,0.080690,-0.514717,-0.853555,0.032897,-0.053017,0.063165,-1.721796,-33.860985,-30.623665,,,,,,,
1558216551.674703,0.101618,0.548323,0.433288,0.233636,0.444423,0.083361,0.086572,-0.521257,-0.848997,0.107199,-0.020048,0.055601,-1.654249,-34.413864,-30.004816,,,,,,,
1558216551.694683,0.114155,0.550754,0.430226,0.080317,0.606457,-0.248317,0.097063,-0.523330,-0.846584,0.108411,-0.002121,0.042202,-1.327570,-34.518642,-29.900515,,,,,,,
1558216551.714690,0.129998,0.549894,0.419819,-0.037836,0.472395,-0.545434,0.110522,-0.522597,-0.845386,0.088407,0.021102,-0.016003,-1.050598,-34.542248,-29.884262,,,,,,,
1558216551.734675,0.143719,0.546308,0.408453,-0.140479,0.388549,-0.427810,0.122378,-0.519536,-0.845639,-0.074878,-0.003199,-0.047824,-0.125401,-34.503914,-29.946690,,,,,,,
1558216551.754660,0.152520,0.544950,0.407318,0.046051,0.442464,0.235865,0.129923,-0.518375,-0.845226,-0.236597,0.001575,0.111462,0.266974,-34.439598,-30.019707,,,,,,,
